#,Player,Nat.,Age,Club,Highest value in career,Last update,Market value
63,64.0,Destiny Udogie Left-Back,,21.0,,€45.00m,"Mar 14, 2024",€45.00m
64,65.0,Lisandro Martínez Centre-Back,,26.0,,€50.00m,"Mar 14, 2024",€45.00m
65,66.0,Pau Torres Centre-Back,,27.0,,€50.00m,"Dec 19, 2023",€45.00m
66,67.0,Sven Botman Centre-Back,,24.0,,€45.00m,"Dec 19, 2023",€45.00m
67,68.0,João Pedro Centre-Forward,,22.0,,€45.00m,"Mar 14, 2024",€45.00m
68,69.0,Raheem Sterling Left Winger,,29.0,,€160.00m,"Dec 19, 2023",€45.00m
69,70.0,Joelinton Central Midfield,,27.0,,€42.00m,"Dec 19, 2023",€42.00m
70,71.0,Jacob Ramsey Attacking Midfield,,22.0,,€42.00m,"Dec 19, 2023",€42.00m
71,72.0,Matheus Cunha Centre-Forward,,24.0,,€42.00m,"Mar 14, 2024",€42.00m
72,73.0,Oleksandr Zinchenko Left-Back,,27.0,,€42.00m,"Dec 19, 2023",€42.00m
73,74.0,Manuel Akanji Centre-Back,,28.0,,€42.00m,"Dec 19, 2023",€42.00m
74,75.0,Axel Disasi Centre-Back,,26.0,,€42.00m,"Dec 19, 2023",€42.00m
75,76.0,Mason Mount Attacking Midfield,,25.0,,€75.00m,"Mar 14, 2024",€40.00m
76,77.0,Ederson Goalkeeper,,30.0,,€70.00m,"Dec 19, 2023",€40.00m
77,78.0,Alejandro Garnacho Left Winger,,19.0,,€40.00m,"Mar 14, 2024",€40.00m
78,79.0,Jurrien Timber Centre-Back,,22.0,,€45.00m,"Dec 19, 2023",€40.00m
79,80.0,Richarlison Centre-Forward,,26.0,,€65.00m,"Mar 14, 2024",€40.00m
80,81.0,Nathan Aké Centre-Back,,29.0,,€42.00m,"Dec 19, 2023",€40.00m
81,82.0,Sandro Tonali Defensive Midfield,,23.0,,€60.00m,"Dec 19, 2023",€40.00m
82,83.0,Roméo Lavia Defensive Midfield,,20.0,,€50.00m,"Mar 14, 2024",€40.00m
83,84.0,André Onana Goalkeeper,,27.0,,€45.00m,"Dec 19, 2023",€40.00m
84,85.0,Morgan Gibbs-White Attacking Midfield,,24.0,,€40.00m,"Dec 19, 2023",€40.00m
85,86.0,Pape Matar Sarr Central Midfield,,21.0,,€40.00m,"Mar 14, 2024",€40.00m
86,87.0,John Stones Centre-Back,,29.0,,€60.00m,"Dec 19, 2023",€38.00m
87,88.0,Boubacar Kamara Defensive Midfield,,24.0,,€38.00m,"Dec 19, 2023",€38.00m
88,89.0,Nayef Aguerd Centre-Back,,27.0,,€38.00m,"Dec 19, 2023",€38.00m
89,90.0,Leandro Trossard Left Winger,,29.0,,€38.00m,"Dec 19, 2023",€38.00m
90,91.0,Rico Lewis Right-Back,,19.0,,€38.00m,"Dec 19, 2023",€38.00m
91,92.0,Marc Guéhi Centre-Back,,23.0,,€38.00m,"Dec 19, 2023",€38.00m
92,93.0,Bryan Mbeumo Right Winger,,24.0,,€38.00m,"Dec 19, 2023",€38.00m
93,94.0,Ryan Gravenberch Central Midfield,,21.0,,€35.00m,"Dec 19, 2023",€35.00m
94,95.0,Joachim Andersen Centre-Back,,27.0,,€35.00m,"Dec 19, 2023",€35.00m
95,96.0,Harvey Barnes Left Winger,,26.0,,€35.00m,"Dec 19, 2023",€35.00m
96,97.0,Mykhaylo Mudryk Left Winger,,23.0,,€60.00m,"Mar 14, 2024",€35.00m
97,98.0,Diogo Dalot Right-Back,,25.0,,€40.00m,"Dec 19, 2023",€35.00m
98,99.0,Dominic Solanke Centre-Forward,,26.0,,€35.00m,"Mar 14, 2024",€35.00m
99,100.0,Joe Willock Central Midfield,,24.0,,€38.00m,"Dec 19, 2023",€35.00m
