Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
197,Danny Welbeck,eng ENG,"FW,MF",33-120,11.4,17,8,4,9,4,6,11,54.5,5,10,0,10,5,22,14,1,Brighton
198,Bart Verbruggen,nl NED,GK,21-220,13.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,3,Brighton
199,João Pedro,br BRA,"FW,MF",22-181,15.5,23,13,7,11,5,9,17,52.9,8,10,1,9,9,32,23,0,Brighton
200,Pervis Estupiñán,ec ECU,DF,26-064,11.7,20,9,8,10,2,10,24,41.7,14,12,2,10,18,38,17,0,Brighton
201,Facundo Buonanotte,ar ARG,"MF,FW",19-093,10.5,31,16,8,18,5,10,28,35.7,18,18,3,15,5,36,4,0,Brighton
202,Joël Veltman,nl NED,DF,32-070,12.6,31,25,15,12,4,20,33,60.6,13,15,7,8,14,45,41,1,Brighton
203,Igor,br BRA,DF,26-047,11.1,17,11,4,11,2,10,18,55.6,8,13,6,7,9,26,31,0,Brighton
204,James Milner,eng ENG,"DF,MF",38-081,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0,Brighton
205,Adam Lallana,eng ENG,MF,35-320,7.4,7,2,3,4,0,0,3,0.0,3,2,1,1,2,9,1,0,Brighton
206,Adam Webster,eng ENG,DF,29-081,8.5,11,11,8,2,1,6,15,40.0,9,7,4,3,9,20,30,1,Brighton
207,Carlos Baleba,cm CMR,MF,20-082,8.5,27,14,12,12,3,15,28,53.6,13,18,4,14,12,39,19,2,Brighton
208,Jack Hinshelwood,eng ENG,DF,18-349,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0,Brighton
209,Tariq Lamptey,gh GHA,"DF,FW",23-177,6.6,10,8,6,3,1,4,12,33.3,8,4,2,2,5,15,2,0,Brighton
210,Solly March,eng ENG,"FW,DF",29-249,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0,Brighton
211,Mahmoud Dahoud,de GER,MF,28-084,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,Brighton
212,Ansu Fati,es ESP,"MF,FW",21-146,5.3,4,2,1,2,1,1,11,9.1,10,7,0,7,3,7,3,0,Brighton
213,Julio Enciso,py PAR,"MF,FW",20-062,1.6,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,Brighton
214,Jakub Moder,pl POL,"MF,DF",24-353,2.5,9,5,3,3,3,6,8,75.0,2,3,0,3,1,10,5,0,Brighton
215,Benicio Boaitey,eng ENG,"DF,FW",20-076,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Brighton
216,Max Kilman,eng ENG,DF,26-307,28.0,33,17,28,4,1,18,24,75.0,6,45,22,23,29,62,131,2,Wolves
217,Nélson Semedo,pt POR,"DF,MF",30-130,26.1,62,40,39,15,8,29,49,59.2,20,32,8,24,27,89,67,0,Wolves
218,José Sá,pt POR,GK,31-068,24.7,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,14,5,Wolves
219,Craig Dawson,eng ENG,DF,33-324,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,Wolves
220,Mario Lemina,ga GAB,MF,30-206,24.2,68,47,36,23,9,15,31,48.4,16,24,5,19,35,103,55,0,Wolves
221,Matheus Cunha,br BRA,"FW,MF",24-303,21.8,24,11,6,15,3,10,30,33.3,20,23,7,16,13,37,16,1,Wolves
222,João Gomes,br BRA,MF,23-042,20.2,83,47,47,29,7,30,67,44.8,37,42,4,38,17,100,19,2,Wolves
223,Toti Gomes,pt POR,DF,25-069,20.8,34,22,24,7,3,18,24,75.0,6,26,14,12,19,53,56,1,Wolves
224,Rayan Aït-Nouri,dz ALG,"DF,MF",22-293,18.9,49,28,27,17,5,19,31,61.3,12,24,6,18,12,61,31,0,Wolves
225,Hwang Hee-chan,kr KOR,"FW,MF",28-059,18.0,16,8,9,6,1,8,21,38.1,13,18,1,17,8,24,9,0,Wolves
226,Pedro Neto,pt POR,"FW,MF",24-016,16.7,7,3,3,2,2,5,15,33.3,10,5,1,4,4,11,2,0,Wolves
227,Pablo Sarabia,es ESP,"MF,FW",31-319,14.1,15,9,7,6,2,9,24,37.5,15,14,1,13,8,23,8,0,Wolves
228,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-272,9.0,15,9,7,6,2,6,13,46.2,7,17,2,15,7,22,13,0,Wolves
229,Tommy Doyle,eng ENG,MF,22-160,9.0,17,8,9,5,3,10,13,76.9,3,17,7,10,9,26,13,0,Wolves
230,Hugo Bueno,es ESP,"DF,MF",21-189,4.8,17,11,9,6,2,8,13,61.5,5,9,1,8,4,21,15,0,Wolves
231,Matt Doherty,ie IRL,"DF,MF",32-069,6.6,13,7,6,5,2,5,11,45.5,6,7,2,5,4,17,24,0,Wolves
232,Boubacar Traoré,ml MLI,"MF,FW",22-218,4.5,13,10,7,5,1,3,9,33.3,6,7,1,6,3,16,4,0,Wolves
233,Santiago Bueno,uy URU,DF,25-137,3.2,4,2,1,3,0,2,3,66.7,1,8,4,4,3,7,19,0,Wolves
234,Fábio Silva,pt POR,FW,21-250,2.9,7,4,3,4,0,2,3,66.7,1,1,0,1,2,9,0,0,Wolves
235,Daniel Bentley,eng ENG,GK,30-256,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Wolves
236,Matheus Nunes,pt POR,MF,25-211,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0,Wolves
237,Nathan Fraser,ie IRL,FW,19-032,1.9,3,1,1,1,1,0,2,0.0,2,2,1,1,1,4,1,0,Wolves
238,Sasa Kalajdzic,at AUT,FW,26-262,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0,Wolves
239,Tawanda Chirewa,eng ENG,"MF,FW",20-166,0.1,2,0,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Wolves
240,Jonny Castro,es ESP,MF,30-022,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Wolves
241,Fabian Schär,ch SUI,DF,32-096,27.1,30,21,21,8,1,13,30,43.3,17,40,31,9,25,55,102,0,Newcastle Utd
242,Bruno Guimarães,br BRA,MF,26-130,26.3,55,32,31,17,7,21,47,44.7,26,40,9,31,25,80,16,0,Newcastle Utd
243,Anthony Gordon,eng ENG,FW,23-030,24.3,41,24,12,21,8,17,53,32.1,36,24,0,24,5,46,4,0,Newcastle Utd
244,Kieran Trippier,eng ENG,DF,33-188,24.0,57,27,30,16,11,37,76,48.7,39,38,8,30,23,80,55,3,Newcastle Utd
245,Miguel Almirón,py PAR,FW,30-044,20.4,34,23,12,15,7,11,28,39.3,17,28,2,26,10,44,11,0,Newcastle Utd
246,Dan Burn,eng ENG,DF,31-321,20.3,46,22,27,17,2,18,48,37.5,30,35,12,23,26,72,81,1,Newcastle Utd
247,Sean Longstaff,eng ENG,MF,26-147,21.1,37,21,11,19,7,17,47,36.2,30,28,5,23,11,48,16,0,Newcastle Utd
248,Alexander Isak,se SWE,FW,24-186,15.6,3,0,2,1,0,1,6,16.7,5,7,0,7,3,6,6,0,Newcastle Utd
249,Sven Botman,nl NED,DF,24-073,15.3,20,13,14,6,0,8,13,61.5,5,20,16,4,9,29,61,3,Newcastle Utd
250,Nick Pope,eng ENG,GK,31-341,13.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,2,Newcastle Utd
251,Lewis Miley,eng ENG,MF,17-329,13.4,33,21,6,20,7,15,32,46.9,17,20,3,17,8,41,18,2,Newcastle Utd
252,Joelinton,br BRA,"MF,FW",27-224,12.6,30,22,16,12,2,10,30,33.3,20,19,5,14,17,47,11,1,Newcastle Utd
253,Martin Dúbravka,sk SVK,GK,35-070,13.1,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,4,1,Newcastle Utd
254,Jamaal Lascelles,eng ENG,DF,30-135,11.8,14,9,7,7,0,6,10,60.0,4,17,12,5,4,18,42,0,Newcastle Utd
255,Valentino Livramento,eng ENG,DF,21-134,10.8,16,8,11,4,1,7,16,43.8,9,11,5,6,19,35,30,0,Newcastle Utd
256,Callum Wilson,eng ENG,FW,32-027,9.6,4,3,0,2,2,0,4,0.0,4,5,0,5,1,5,2,0,Newcastle Utd
257,Sandro Tonali,it ITA,MF,23-322,4.9,7,7,4,2,1,3,9,33.3,6,3,0,3,2,9,4,0,Newcastle Utd
258,Jacob Murphy,eng ENG,FW,29-030,5.3,9,6,4,2,3,5,9,55.6,4,9,0,9,0,9,7,0,Newcastle Utd
259,Elliot Anderson,sct SCO,"MF,FW",21-140,4.8,10,7,4,5,1,5,11,45.5,6,7,3,4,2,12,6,0,Newcastle Utd
260,Harvey Barnes,eng ENG,FW,26-107,4.0,3,1,1,2,0,0,1,0.0,1,0,0,0,2,5,1,0,Newcastle Utd
261,Joe Willock,eng ENG,MF,24-218,3.4,10,6,6,4,0,4,10,40.0,6,5,0,5,1,11,1,0,Newcastle Utd
262,Lewis Hall,eng ENG,DF,19-199,1.2,10,7,7,3,0,4,7,57.1,3,2,0,2,2,12,0,0,Newcastle Utd
263,Loris Karius,de GER,GK,30-277,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Newcastle Utd
264,Matt Targett,eng ENG,DF,28-189,0.9,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,2,0,Newcastle Utd
265,Matt Ritchie,sct SCO,FW,34-197,1.2,3,2,1,2,0,2,3,66.7,1,0,0,0,1,4,5,0,Newcastle Utd
266,Emil Krafth,se SWE,DF,29-236,1.2,4,3,2,1,1,4,4,100.0,0,0,0,0,0,4,1,0,Newcastle Utd
267,Ben Parkinson,eng ENG,FW,19-015,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Newcastle Utd
268,Joe White,eng ENG,MF,21-176,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Newcastle Utd
269,Paul Dummett,wls WAL,DF,32-181,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Newcastle Utd
270,Alex Murphy,ie IRL,"FW,DF",19-274,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Newcastle Utd
271,Amadou Diallo,eng ENG,MF,21-039,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Newcastle Utd
272,Michael Ndiweni,eng ENG,FW,20-114,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Newcastle Utd
273,Conor Gallagher,eng ENG,MF,24-048,24.2,68,41,27,28,13,28,58,48.3,30,40,8,32,33,101,14,0,Chelsea
274,Axel Disasi,fr FRA,DF,26-014,24.7,29,16,17,9,3,19,25,76.0,6,20,15,5,16,45,90,1,Chelsea
275,Thiago Silva,br BRA,DF,39-185,22.0,25,11,21,3,1,17,29,58.6,12,26,20,6,21,46,108,3,Chelsea
276,Moisés Caicedo,ec ECU,MF,22-144,21.6,59,33,28,24,7,22,39,56.4,17,33,15,18,22,81,30,2,Chelsea
277,Enzo Fernández,ar ARG,MF,23-068,20.8,47,21,20,17,10,26,58,44.8,32,34,13,21,16,63,24,0,Chelsea
278,Raheem Sterling,eng ENG,"FW,MF",29-108,20.1,20,10,7,7,6,11,25,44.0,14,10,0,10,12,32,8,0,Chelsea
279,Nicolas Jackson,sn SEN,FW,22-279,20.2,13,9,2,5,6,3,17,17.6,14,16,5,11,3,16,15,0,Chelsea
280,Levi Colwill,eng ENG,DF,21-028,20.0,48,30,26,17,5,26,34,76.5,8,28,10,18,26,74,66,0,Chelsea
281,Cole Palmer,eng ENG,"FW,MF",21-324,19.3,19,11,8,5,6,6,16,37.5,10,16,1,15,13,32,11,2,Chelsea
282,Robert Sánchez,es ESP,GK,26-128,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3,Chelsea
283,Malo Gusto,fr FRA,DF,20-311,15.2,45,22,30,13,2,27,41,65.9,14,23,3,20,13,58,36,1,Chelsea
284,Đorđe Petrović,rs SRB,GK,24-169,11.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Chelsea
285,Mykhailo Mudryk,ua UKR,"FW,MF",23-080,10.1,18,11,8,5,5,8,23,34.8,15,10,1,9,4,22,6,0,Chelsea
286,Marc Cucurella,es ESP,DF,25-247,8.8,33,22,18,13,2,19,31,61.3,12,18,6,12,13,46,26,0,Chelsea
287,Ben Chilwell,eng ENG,DF,27-095,8.3,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1,Chelsea
288,Benoît Badiashile,fr FRA,DF,22-365,6.2,13,10,8,5,0,6,10,60.0,4,9,4,5,5,18,31,1,Chelsea
289,Armando Broja,al ALB,FW,22-197,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0,Chelsea
290,Reece James,eng ENG,DF,24-108,4.3,13,8,10,2,1,8,10,80.0,2,4,4,0,3,16,7,1,Chelsea
291,Noni Madueke,eng ENG,FW,22-015,3.9,7,5,4,2,1,5,13,38.5,8,5,0,5,1,8,6,0,Chelsea
292,Lesley Ugochukwu,fr FRA,MF,19-365,3.0,12,9,3,8,1,3,8,37.5,5,5,2,3,1,13,3,0,Chelsea
293,Christopher Nkunku,fr FRA,"FW,MF",26-132,3.5,2,1,0,2,0,0,0,,0,3,0,3,2,4,3,0,Chelsea
294,Trevoh Chalobah,eng ENG,DF,24-264,2.2,2,1,1,0,1,2,2,100.0,0,2,2,0,3,5,10,0,Chelsea
295,Carney Chukwuemeka,eng ENG,"MF,FW",20-157,1.9,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,0,0,Chelsea
296,Ian Maatsen,nl NED,"FW,MF",22-015,2.3,3,2,1,1,1,0,4,0.0,4,4,0,4,3,6,10,0,Chelsea
297,Roméo Lavia,be BEL,MF,20-079,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Chelsea
298,Cesare Casadei,it ITA,"MF,FW",21-075,0.2,2,1,1,1,0,0,0,,0,1,0,1,0,2,2,0,Chelsea
299,Alfie Gilchrist,eng ENG,"DF,FW",20-118,0.2,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,2,0,Chelsea
300,Deivid Washington,br BRA,DF,18-294,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Chelsea
301,Mason Burstow,eng ENG,FW,20-234,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Chelsea
302,Alex Matos,eng ENG,MF,19-174,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Chelsea
303,Bernd Leno,de GER,GK,32-021,29.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1,Fulham
304,Antonee Robinson,us USA,DF,26-230,27.4,75,47,48,20,7,46,82,56.1,36,40,5,35,69,144,83,3,Fulham
305,Andreas Pereira,br BRA,MF,28-084,22.2,19,9,3,8,8,8,29,27.6,21,14,2,12,3,22,12,0,Fulham
306,Timothy Castagne,be BEL,DF,28-111,22.3,40,19,18,13,9,22,34,64.7,12,29,7,22,34,74,54,1,Fulham
307,João Palhinha,pt POR,MF,28-260,21.8,110,57,62,38,10,72,113,63.7,41,45,8,37,38,148,41,0,Fulham
308,Willian,br BRA,FW,35-229,18.0,11,6,5,2,4,3,16,18.8,13,13,0,13,9,20,12,0,Fulham
309,Raúl Jiménez,mx MEX,FW,32-325,14.1,14,10,3,7,4,6,18,33.3,12,9,2,7,3,17,12,0,Fulham
310,Calvin Bassey,ng NGA,DF,24-085,16.6,29,18,18,10,1,11,16,68.8,5,22,8,14,24,53,49,3,Fulham
311,Alex Iwobi,ng NGA,"FW,MF",27-327,16.5,19,12,8,10,1,8,19,42.1,11,11,0,11,13,32,7,0,Fulham
312,Tim Ream,us USA,DF,36-172,15.7,18,9,11,5,2,7,15,46.7,8,22,15,7,25,43,56,2,Fulham
313,Harry Wilson,wls WAL,FW,27-003,15.7,19,12,8,8,3,11,26,42.3,15,24,3,21,10,29,9,0,Fulham
314,Bobby Reid,jm JAM,FW,31-052,13.0,16,11,3,11,2,3,11,27.3,8,17,2,15,3,19,12,0,Fulham
315,Tom Cairney,sct SCO,MF,33-065,13.8,21,13,10,9,2,11,23,47.8,12,14,3,11,13,34,5,0,Fulham
316,Tosin Adarabioyo,eng ENG,DF,26-183,13.0,16,10,11,5,0,10,14,71.4,4,12,8,4,18,34,64,0,Fulham
317,Issa Diop,fr FRA,DF,27-076,12.8,23,12,17,5,1,11,16,68.8,5,20,14,6,12,35,63,1,Fulham
318,Harrison Reed,eng ENG,MF,29-058,12.7,25,16,7,15,3,11,28,39.3,17,18,9,9,11,36,20,0,Fulham
319,Rodrigo Muniz,br BRA,FW,22-326,10.4,4,2,1,3,0,1,4,25.0,3,6,2,4,4,8,12,0,Fulham
320,Saša Lukić,rs SRB,MF,27-225,8.1,22,13,5,12,5,12,28,42.9,16,9,3,6,10,32,9,1,Fulham
321,Kenny Tete,nl NED,DF,28-168,7.6,21,14,14,5,2,9,17,52.9,8,9,3,6,16,37,31,0,Fulham
322,Carlos Vinícius,br BRA,FW,29-000,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0,Fulham
323,Adama Traoré,es ESP,"FW,MF",28-060,1.2,2,1,0,2,0,2,3,66.7,1,0,0,0,0,2,1,0,Fulham
324,Luke Harris,wls WAL,MF,18-357,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Fulham
325,Fodé Ballo-Touré,sn SEN,"DF,MF",27-082,0.6,3,2,1,2,0,1,1,100.0,0,1,0,1,3,6,2,0,Fulham
326,Armando Broja,al ALB,FW,22-197,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Fulham
327,Aleksandar Mitrović,rs SRB,FW,29-191,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Fulham
328,Illia Zabarnyi,ua UKR,DF,21-206,28.0,44,26,19,24,1,15,35,42.9,20,40,25,15,28,72,102,3,Bournemouth
329,Dominic Solanke,eng ENG,FW,26-193,27.7,17,9,1,9,7,7,17,41.2,10,20,4,16,3,20,34,0,Bournemouth
330,Ryan Christie,sct SCO,MF,29-032,24.3,63,32,27,22,14,30,69,43.5,39,31,5,26,37,100,34,0,Bournemouth
331,Neto,br BRA,GK,34-250,26.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,11,1,Bournemouth
332,Lewis Cook,eng ENG,MF,27-051,21.0,43,29,19,21,3,25,43,58.1,18,23,7,16,44,87,31,1,Bournemouth
333,Marcus Tavernier,eng ENG,FW,25-003,20.2,48,30,24,19,5,23,41,56.1,18,26,3,23,4,52,20,0,Bournemouth
334,Marcos Senesi,ar ARG,DF,26-320,18.4,39,19,21,16,2,15,40,37.5,25,36,17,19,23,62,84,1,Bournemouth
335,Antoine Semenyo,gh GHA,FW,24-078,15.8,17,11,6,6,5,7,20,35.0,13,26,1,25,5,22,12,0,Bournemouth
336,Justin Kluivert,nl NED,"MF,FW",24-325,13.6,21,11,3,9,9,5,20,25.0,15,10,1,9,5,26,7,0,Bournemouth
337,Milos Kerkez,hu HUN,DF,20-139,16.1,37,21,24,11,2,23,33,69.7,10,25,9,16,16,53,51,1,Bournemouth
338,Adam Smith,eng ENG,DF,32-331,15.8,22,12,13,3,6,13,25,52.0,12,17,8,9,14,36,38,0,Bournemouth
339,Philip Billing,dk DEN,MF,27-288,13.8,29,13,4,21,4,8,23,34.8,15,27,5,22,16,45,26,1,Bournemouth
340,Max Aarons,eng ENG,DF,24-081,12.1,28,18,20,6,2,19,30,63.3,11,9,5,4,6,34,23,0,Bournemouth
341,Lloyd Kelly,eng ENG,DF,25-171,11.2,19,15,7,9,3,12,21,57.1,9,14,7,7,7,26,40,0,Bournemouth
342,Alex Scott,eng ENG,MF,20-217,7.7,16,10,5,8,3,8,16,50.0,8,11,4,7,11,27,12,1,Bournemouth
343,Dango Ouattara,bf BFA,"DF,FW",22-043,7.5,30,17,16,7,7,13,23,56.5,10,10,2,8,9,39,20,0,Bournemouth
344,Luis Sinisterra,co COL,"FW,MF",24-282,7.3,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0,Bournemouth
345,Chris Mepham,wls WAL,DF,26-141,5.9,9,8,6,3,0,6,11,54.5,5,12,5,7,7,16,22,1,Bournemouth
346,Joe Rothwell,eng ENG,MF,29-074,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0,Bournemouth
347,David Brooks,wls WAL,"FW,MF",26-261,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0,Bournemouth
348,Ionuț Radu,ro ROU,GK,26-302,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Bournemouth
349,Jaidon Anthony,eng ENG,FW,24-115,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Bournemouth
350,James Hill,eng ENG,DF,22-075,0.8,3,2,1,2,0,1,1,100.0,0,1,1,0,2,5,6,0,Bournemouth
351,Kieffer Moore,wls WAL,"FW,MF",31-230,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Bournemouth
352,Enes Ünal,tr TUR,"MF,FW",26-320,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Bournemouth
353,Hamed Junior Traorè,ci CIV,MF,24-038,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0,Bournemouth
354,Tyler Adams,us USA,MF,25-040,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Bournemouth
355,Romain Faivre,fr FRA,"MF,DF",25-255,0.2,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Bournemouth
356,Joachim Andersen,dk DEN,DF,27-299,28.0,35,22,25,9,1,20,29,69.0,9,28,17,11,33,68,138,1,Crystal Palace
357,Tyrick Mitchell,eng ENG,DF,24-206,26.1,77,40,60,11,6,29,42,69.0,13,41,8,33,22,99,85,0,Crystal Palace
358,Jordan Ayew,gh GHA,"FW,MF",32-196,23.7,53,28,21,20,12,15,34,44.1,19,38,2,36,14,67,12,0,Crystal Palace
359,Jefferson Lerma,co COL,MF,29-152,22.5,33,18,9,20,4,12,30,40.0,18,26,9,17,27,60,48,0,Crystal Palace
360,Marc Guéhi,eng ENG,DF,23-256,21.2,26,17,21,5,0,13,23,56.5,10,22,17,5,18,44,86,1,Crystal Palace
361,Sam Johnstone,eng ENG,GK,31-000,20.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,Crystal Palace
362,Joel Ward,eng ENG,DF,34-148,18.8,38,24,23,14,1,25,41,61.0,16,13,8,5,9,47,72,1,Crystal Palace
363,Odsonne Édouard,fr FRA,"FW,MF",26-069,15.9,19,10,7,5,7,3,17,17.6,14,15,1,14,5,24,19,0,Crystal Palace
364,Jeffrey Schlupp,gh GHA,"FW,MF",31-093,13.6,35,21,14,15,6,9,17,52.9,8,12,2,10,7,42,23,0,Crystal Palace
365,Chris Richards,us USA,"DF,MF",23-363,16.3,35,21,18,15,2,15,21,71.4,6,26,9,17,21,56,80,0,Crystal Palace
366,Jean-Philippe Mateta,fr FRA,FW,26-271,16.7,12,8,3,6,3,3,5,60.0,2,9,2,7,3,15,8,0,Crystal Palace
367,Eberechi Eze,eng ENG,"MF,FW",25-270,14.6,24,9,1,12,11,11,23,47.8,12,14,1,13,6,30,4,0,Crystal Palace
368,Will Hughes,eng ENG,MF,28-343,14.6,42,22,20,14,8,13,28,46.4,15,24,9,15,12,54,20,0,Crystal Palace
369,Cheick Doucouré,ml MLI,MF,24-077,10.2,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0,Crystal Palace
370,Michael Olise,fr FRA,"FW,MF",22-104,8.4,14,8,5,8,1,8,20,40.0,12,14,0,14,6,20,8,0,Crystal Palace
371,Dean Henderson,eng ENG,GK,27-013,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Crystal Palace
372,Nathaniel Clyne,eng ENG,DF,32-355,8.0,15,9,7,6,2,9,12,75.0,3,9,2,7,4,19,21,0,Crystal Palace
373,Daniel Muñoz,co COL,"DF,MF",27-304,6.0,12,11,9,2,1,6,16,37.5,10,10,5,5,8,20,22,0,Crystal Palace
374,Adam Wharton,eng ENG,MF,19-297,5.1,16,14,5,8,3,8,19,42.1,11,5,2,3,8,24,7,1,Crystal Palace
375,Jaïro Riedewald,nl NED,"MF,FW",27-198,2.0,4,1,0,2,2,1,2,50.0,1,0,0,0,2,6,0,0,Crystal Palace
376,Matheus França,br BRA,"MF,FW",19-359,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0,Crystal Palace
377,Naouirou Ahamada,fr FRA,"MF,FW",21-362,2.6,6,4,3,3,0,4,11,36.4,7,3,0,3,1,7,3,0,Crystal Palace
378,Jesurun Rak Sakyi,eng ENG,"MF,FW",21-172,1.5,4,1,3,1,0,2,3,66.7,1,2,0,2,3,7,1,0,Crystal Palace
379,David Ozoh,eng ENG,MF,18-299,1.5,9,5,3,5,1,5,6,83.3,1,2,0,2,0,9,2,0,Crystal Palace
380,James Tomkins,eng ENG,DF,34-362,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Crystal Palace
381,Remi Matthews,eng ENG,GK,30-044,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Crystal Palace
382,Mark Flekken,nl NED,GK,30-286,27.5,1,1,1,0,0,1,4,25.0,3,1,0,1,0,1,11,0,Brentford
383,Vitaly Janelt,de GER,"MF,DF",25-320,25.7,46,25,21,18,7,27,52,51.9,25,22,7,15,23,69,46,1,Brentford
384,Christian Nørgaard,dk DEN,MF,30-015,24.2,73,46,39,27,7,29,80,36.3,51,40,2,38,46,119,50,0,Brentford
385,Ethan Pinnock,jm JAM,DF,30-301,23.0,32,21,21,11,0,8,17,47.1,9,34,21,13,36,68,144,2,Brentford
386,Yoane Wissa,cd COD,FW,27-204,21.1,21,12,8,8,5,2,16,12.5,14,18,3,15,8,29,10,0,Brentford
387,Nathan Collins,ie IRL,DF,22-330,21.5,28,14,19,8,1,16,26,61.5,10,30,17,13,34,62,111,4,Brentford
388,Mathias Jensen,dk DEN,MF,28-084,17.7,43,24,22,17,4,20,70,28.6,50,32,6,26,13,56,19,1,Brentford
389,Mads Roerslev,dk DEN,DF,24-275,16.3,36,24,27,6,3,23,44,52.3,21,11,2,9,15,51,59,0,Brentford
390,Bryan Mbeumo,cm CMR,FW,24-231,14.4,12,8,6,4,2,4,13,30.8,9,14,0,14,5,17,9,0,Brentford
391,Ben Mee,eng ENG,DF,34-186,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1,Brentford
392,Kristoffer Ajer,no NOR,DF,25-343,14.4,29,16,20,8,1,20,29,69.0,9,17,8,9,17,46,57,1,Brentford
393,Neal Maupay,fr FRA,FW,27-224,13.4,10,7,4,5,1,3,13,23.1,10,9,0,9,2,12,3,0,Brentford
394,Frank Onyeka,ng NGA,MF,26-084,12.7,35,22,9,21,5,14,25,56.0,11,15,7,8,23,58,16,0,Brentford
395,Keane Lewis-Potter,eng ENG,"FW,DF",23-032,11.5,16,6,5,10,1,6,12,50.0,6,9,2,7,5,21,16,0,Brentford
396,Ivan Toney,eng ENG,FW,28-009,10.0,12,5,1,6,5,5,11,45.5,6,4,1,3,8,20,12,0,Brentford
397,Aaron Hickey,sct SCO,DF,21-289,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,Brentford
398,Saman Ghoddos,ir IRN,DF,30-201,7.9,25,17,19,4,2,16,27,59.3,11,8,2,6,5,30,11,0,Brentford
