Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Team
764,Carlos Baleba,cm CMR,MF,20-083,8.5,596,36,161,363,79,3,596,15,9,60.0,3,20.0,362,1772,864,6,11,0,9,12,414,5,Brighton
765,Jack Hinshelwood,eng ENG,DF,18-350,9.7,590,26,193,256,143,30,590,5,0,0.0,4,80.0,331,1598,726,16,15,1,9,2,381,38,Brighton
766,Tariq Lamptey,gh GHA,"DF,FW",23-178,6.6,388,11,70,175,146,17,388,13,6,46.2,6,46.2,263,1524,928,26,12,10,15,2,279,47,Brighton
767,Solly March,eng ENG,"FW,DF",29-250,6.2,336,12,71,123,145,18,336,18,8,44.4,8,44.4,198,975,491,14,7,3,8,10,211,44,Brighton
768,Mahmoud Dahoud,de GER,MF,28-085,5.0,368,12,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6,Brighton
769,Ansu Fati,es ESP,"MF,FW",21-147,5.3,260,4,25,130,107,36,260,13,5,38.5,6,46.2,183,872,390,14,2,9,14,8,205,40,Brighton
770,Julio Enciso,py PAR,"MF,FW",20-063,1.6,77,0,1,35,43,9,77,16,10,62.5,4,25.0,65,403,222,7,5,5,3,2,64,12,Brighton
771,Jakub Moder,pl POL,"MF,DF",24-354,2.5,160,6,37,70,53,6,160,3,0,0.0,2,66.7,95,321,139,4,4,1,5,4,108,11,Brighton
772,Benicio Boaitey,eng ENG,"DF,FW",20-077,0.2,21,1,6,4,12,0,21,1,1,100.0,0,0.0,12,69,12,0,2,0,1,1,16,1,Brighton
773,Max Kilman,eng ENG,DF,26-308,28.0,1919,293,989,832,112,17,1919,12,8,66.7,1,8.3,1150,5608,3336,21,16,1,5,8,1312,3,Wolves
774,Nélson Semedo,pt POR,"DF,MF",30-131,26.1,1655,104,539,729,414,26,1655,67,37,55.2,23,34.3,917,5728,3238,79,48,10,42,25,978,113,Wolves
775,José Sá,pt POR,GK,31-069,24.7,840,730,835,5,0,0,840,3,3,100.0,0,0.0,484,3291,2153,0,1,1,0,1,328,0,Wolves
776,Craig Dawson,eng ENG,DF,33-325,24.5,1529,292,889,592,54,34,1529,3,3,100.0,0,0.0,896,4227,1932,1,7,0,5,2,997,4,Wolves
777,Mario Lemina,ga GAB,MF,30-207,24.2,1257,93,374,651,254,42,1257,30,16,53.3,13,43.3,651,3233,1467,25,23,1,25,17,802,39,Wolves
778,Matheus Cunha,br BRA,"FW,MF",24-304,21.8,944,22,132,465,375,100,943,110,52,47.3,46,41.8,572,4592,2693,93,65,30,62,41,671,108,Wolves
779,João Gomes,br BRA,MF,23-043,20.2,1092,43,290,578,238,19,1092,30,17,56.7,10,33.3,552,2644,1113,13,11,1,29,27,647,21,Wolves
780,Toti Gomes,pt POR,DF,25-070,20.8,1461,113,663,674,130,15,1461,21,14,66.7,4,19.0,775,3184,1736,15,9,1,12,3,936,7,Wolves
781,Rayan Aït-Nouri,dz ALG,"DF,MF",22-294,18.9,1121,43,292,501,346,39,1121,84,45,53.6,28,33.3,653,3663,1808,51,38,7,34,35,736,78,Wolves
782,Hwang Hee-chan,kr KOR,"FW,MF",28-060,18.0,637,13,97,268,284,78,636,61,32,52.5,26,42.6,408,2197,886,30,19,17,41,25,462,93,Wolves
783,Pedro Neto,pt POR,"FW,MF",24-017,16.7,894,4,62,355,499,83,894,88,37,42.0,42,47.7,574,4848,2558,97,63,42,44,20,673,148,Wolves
784,Pablo Sarabia,es ESP,"MF,FW",31-320,14.1,873,11,99,413,372,43,872,32,14,43.8,15,46.9,515,2666,1209,33,40,8,28,16,605,105,Wolves
785,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-273,9.0,425,21,75,174,184,29,425,35,15,42.9,16,45.7,241,1626,756,25,23,5,23,16,265,43,Wolves
786,Tommy Doyle,eng ENG,MF,22-161,9.0,717,33,191,409,122,3,717,3,1,33.3,1,33.3,430,1985,832,11,10,2,4,4,512,9,Wolves
787,Hugo Bueno,es ESP,"DF,MF",21-190,4.8,356,18,115,143,99,7,356,19,6,31.6,11,57.9,189,1099,506,12,7,1,6,13,209,31,Wolves
788,Matt Doherty,ie IRL,"DF,MF",32-070,6.6,401,31,138,165,100,18,401,9,4,44.4,4,44.4,167,730,305,7,5,0,10,2,225,36,Wolves
789,Boubacar Traoré,ml MLI,"MF,FW",22-219,4.5,269,9,49,174,50,2,269,5,3,60.0,1,20.0,149,742,280,4,8,1,7,7,181,9,Wolves
790,Santiago Bueno,uy URU,DF,25-138,3.2,180,31,101,77,3,0,180,1,1,100.0,0,0.0,104,529,271,0,0,0,0,0,114,0,Wolves
791,Fábio Silva,pt POR,FW,21-251,2.9,118,4,24,55,44,12,118,8,2,25.0,5,62.5,66,437,186,5,5,1,12,4,69,13,Wolves
792,Daniel Bentley,eng ENG,GK,30-257,3.3,104,87,104,0,0,0,104,0,0,,0,,43,229,144,0,0,0,0,0,50,0,Wolves
793,Matheus Nunes,pt POR,MF,25-212,2.0,131,4,30,66,40,6,131,17,11,64.7,4,23.5,93,634,336,7,6,3,3,4,95,9,Wolves
794,Nathan Fraser,ie IRL,FW,19-033,1.9,51,3,8,24,20,2,51,0,0,,0,,27,69,13,0,0,0,4,0,31,15,Wolves
795,Sasa Kalajdzic,at AUT,FW,26-263,1.8,88,5,20,44,24,7,88,1,1,100.0,0,0.0,46,143,48,1,1,0,2,5,68,9,Wolves
796,Tawanda Chirewa,eng ENG,"MF,FW",20-167,0.1,12,2,4,4,4,1,12,0,0,,0,,8,46,6,0,0,0,0,0,8,4,Wolves
797,Jonny Castro,es ESP,MF,30-023,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Wolves
798,Fabian Schär,ch SUI,DF,32-097,27.1,2071,300,1077,891,121,35,2071,18,10,55.6,7,38.9,1271,6663,4190,18,39,1,13,10,1452,17,Newcastle Utd
799,Bruno Guimarães,br BRA,MF,26-131,26.3,1966,68,415,1076,505,50,1966,87,48,55.2,26,29.9,1311,7354,2828,41,50,14,47,48,1543,52,Newcastle Utd
800,Anthony Gordon,eng ENG,FW,23-031,24.3,1019,12,123,388,525,102,1018,97,35,36.1,42,43.3,699,5651,2570,94,59,36,58,28,752,166,Newcastle Utd
801,Kieran Trippier,eng ENG,DF,33-189,24.0,2277,93,707,946,646,35,2277,22,16,72.7,6,27.3,1051,4171,2011,34,37,5,20,9,1371,123,Newcastle Utd
802,Miguel Almirón,py PAR,FW,30-045,20.4,973,23,131,403,452,81,973,48,21,43.8,21,43.8,617,4237,2165,77,41,21,29,25,695,156,Newcastle Utd
803,Dan Burn,eng ENG,DF,31-322,20.3,1410,109,586,642,185,33,1410,5,3,60.0,2,40.0,622,2511,1107,13,7,3,12,8,785,25,Newcastle Utd
804,Sean Longstaff,eng ENG,MF,26-148,21.1,1079,32,233,577,274,51,1079,15,7,46.7,8,53.3,563,2183,947,14,13,3,26,27,765,82,Newcastle Utd
805,Alexander Isak,se SWE,FW,24-187,15.6,432,10,29,187,220,78,430,47,26,55.3,17,36.2,252,1857,990,39,20,19,30,14,309,76,Newcastle Utd
806,Sven Botman,nl NED,DF,24-074,15.3,1154,186,676,450,29,20,1154,2,0,0.0,2,100.0,672,2866,1403,0,4,0,5,2,822,5,Newcastle Utd
807,Nick Pope,eng ENG,GK,31-342,13.9,400,337,396,3,1,1,400,0,0,,0,,199,1014,576,0,0,0,0,0,160,0,Newcastle Utd
808,Lewis Miley,eng ENG,MF,17-330,13.4,674,36,164,305,212,35,674,17,8,47.1,8,47.1,350,1664,654,14,7,6,16,10,435,54,Newcastle Utd
809,Joelinton,br BRA,"MF,FW",27-225,12.6,687,33,127,349,216,34,687,33,16,48.5,11,33.3,370,1713,792,21,17,5,21,25,488,58,Newcastle Utd
