Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Team
30,Mohamed Salah,eg EGY,FW,31-285,20.2,968,3,36,350,594,164,962,56,19,33.9,36,64.3,705,3876,1919,76,38,52,50,40,797,232,Liverpool
31,Trent Alexander-Arnold,eng ENG,DF,25-171,18.0,1711,60,398,901,431,20,1711,45,25,55.6,17,37.8,907,4259,1990,31,37,4,23,6,1087,65,Liverpool
32,Darwin Núñez,uy URU,FW,24-276,17.5,615,10,33,187,408,146,614,37,12,32.4,18,48.6,379,2203,1085,46,30,26,39,23,462,159,Liverpool
33,Joe Gomez,eng ENG,DF,26-308,16.1,1261,72,318,658,295,22,1261,30,14,46.7,11,36.7,713,3699,1832,35,28,3,23,7,787,84,Liverpool
34,Ibrahima Konaté,fr FRA,DF,24-306,14.8,1324,80,457,811,65,12,1324,9,6,66.7,0,0.0,877,4803,3027,22,17,0,5,5,943,3,Liverpool
35,Diogo Jota,pt POR,FW,27-113,11.6,548,8,51,228,278,93,548,36,14,38.9,18,50.0,321,1926,1141,48,27,19,39,17,391,99,Liverpool
36,Cody Gakpo,nl NED,"FW,MF",24-324,12.9,523,13,57,229,248,61,523,36,19,52.8,12,33.3,358,1924,900,27,20,9,36,21,406,86,Liverpool
37,Wataru Endo,jp JPN,MF,31-046,12.2,929,29,180,617,137,7,929,6,2,33.3,3,50.0,547,2078,853,6,10,1,18,14,660,15,Liverpool
38,Curtis Jones,eng ENG,MF,23-056,10.6,726,22,112,406,216,28,726,26,13,50.0,9,34.6,490,2657,1189,27,19,6,13,21,550,64,Liverpool
39,Andrew Robertson,sct SCO,DF,30-015,11.8,1029,50,283,474,278,17,1029,9,3,33.3,6,66.7,572,2483,1413,31,22,3,10,2,682,60,Liverpool
40,Ryan Gravenberch,nl NED,MF,21-315,9.4,521,14,73,265,189,30,521,39,15,38.5,19,48.7,308,1795,992,31,22,8,33,11,338,51,Liverpool
41,Joël Matip,cm CMR,DF,32-231,8.7,665,90,303,327,37,12,665,2,0,0.0,2,100.0,421,2195,1406,8,13,0,3,4,451,1,Liverpool
42,Kostas Tsimikas,gr GRE,DF,27-319,7.5,566,17,119,235,218,16,566,15,4,26.7,10,66.7,306,1675,850,23,19,3,9,4,334,69,Liverpool
43,Caoimhín Kelleher,ie IRL,GK,25-124,7.0,334,196,325,9,0,0,334,0,0,,0,,259,1257,773,0,0,0,0,0,236,0,Liverpool
44,Harvey Elliott,eng ENG,"MF,FW",20-357,9.3,669,6,52,326,297,38,669,11,7,63.6,4,36.4,418,2392,1097,30,39,7,10,8,495,64,Liverpool
45,Jarell Quansah,eng ENG,DF,21-057,5.9,595,47,244,343,12,2,595,5,3,60.0,2,40.0,424,2240,1039,5,2,0,0,0,451,0,Liverpool
46,Conor Bradley,nir NIR,DF,20-261,4.9,383,9,82,162,143,18,383,19,7,36.8,9,47.4,217,1169,586,16,16,4,13,5,224,37,Liverpool
47,Bobby Clark,eng ENG,MF,19-048,1.0,70,4,11,34,26,6,70,4,0,0.0,3,75.0,45,286,149,3,0,2,3,6,48,7,Liverpool
48,Ben Doak,sct SCO,FW,18-136,0.2,6,0,0,2,4,0,6,0,0,,0,,4,7,2,0,0,0,2,0,4,0,Liverpool
49,Jayden Danns,eng ENG,FW,18-070,0.1,7,0,0,3,4,0,7,0,0,,0,,3,11,5,0,1,0,0,0,4,2,Liverpool
50,Owen Beck,wls WAL,DF,21-230,0.1,8,0,3,4,2,0,8,1,0,0.0,1,100.0,4,43,1,0,0,0,1,0,4,1,Liverpool
51,Thiago Alcántara,es ESP,MF,32-350,0.1,10,0,4,5,1,0,10,0,0,,0,,9,33,15,0,0,0,0,0,9,0,Liverpool
52,James McConnell,eng ENG,MF,19-195,0.0,10,0,1,7,2,0,10,1,0,0.0,0,0.0,5,47,11,0,1,0,1,0,6,0,Liverpool
53,Kaide Gordon,eng ENG,FW,19-173,0.0,2,0,0,0,2,1,2,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Liverpool
54,Ederson,br BRA,GK,30-222,25.7,1068,787,1049,19,0,0,1068,1,1,100.0,0,0.0,714,3102,1985,0,0,0,0,0,698,0,Manchester City
55,Phil Foden,eng ENG,"FW,MF",23-303,25.7,1708,16,144,597,986,164,1708,84,39,46.4,36,42.9,1177,5824,2951,83,72,50,53,36,1394,225,Manchester City
56,Julián Álvarez,ar ARG,"MF,FW",24-055,24.4,1284,18,95,395,805,108,1283,37,18,48.6,19,51.4,767,3753,1740,52,56,21,47,29,914,144,Manchester City
57,Kyle Walker,eng ENG,DF,33-303,25.1,2179,70,441,1113,644,34,2179,30,18,60.0,9,30.0,1270,6402,3449,65,57,4,21,10,1589,151,Manchester City
58,Rodri,es ESP,MF,27-278,24.1,2903,87,499,1699,725,61,2903,44,28,63.6,9,20.5,1869,8588,4783,61,67,12,14,20,2341,46,Manchester City
59,Erling Haaland,no NOR,FW,23-249,21.4,462,13,29,144,292,131,458,22,10,45.5,10,45.5,273,1267,548,22,9,14,31,13,353,93,Manchester City
60,Rúben Dias,pt POR,DF,26-317,21.4,2156,172,756,1207,199,28,2156,1,0,0.0,1,100.0,1518,8628,5442,30,51,0,6,4,1716,14,Manchester City
61,Bernardo Silva,pt POR,"MF,FW",29-229,21.1,1630,27,176,656,805,105,1630,47,31,66.0,16,34.0,1142,6358,3418,110,55,27,34,23,1300,190,Manchester City
62,Nathan Aké,nl NED,DF,29-037,19.2,1721,80,509,949,268,35,1721,9,5,55.6,2,22.2,1085,4826,2735,23,36,1,7,2,1260,17,Manchester City
63,Manuel Akanji,ch SUI,"DF,MF",28-251,18.6,1717,124,526,937,261,19,1717,3,2,66.7,1,33.3,1103,5584,3309,33,29,2,10,5,1326,21,Manchester City
64,Joško Gvardiol,hr CRO,DF,22-063,16.4,1386,42,289,719,389,28,1386,26,14,53.8,9,34.6,835,4054,2258,39,31,5,15,11,960,70,Manchester City
65,Jeremy Doku,be BEL,"FW,MF",21-304,13.3,871,5,61,208,614,163,871,124,64,51.6,46,37.1,659,5742,3768,166,43,110,42,26,699,221,Manchester City
66,John Stones,eng ENG,"DF,MF",29-303,10.6,763,49,208,394,166,10,763,5,1,20.0,3,60.0,484,2634,1291,15,20,1,5,6,610,20,Manchester City
67,Mateo Kovačić,hr CRO,MF,29-325,10.8,1006,16,114,644,254,5,1006,23,14,60.9,6,26.1,698,3835,1751,28,34,0,8,16,858,27,Manchester City
68,Jack Grealish,eng ENG,FW,28-198,7.9,489,4,46,153,293,55,489,28,14,50.0,5,17.9,350,2774,1292,55,27,33,15,18,387,87,Manchester City
69,Matheus Nunes,pt POR,"MF,FW",25-212,5.6,376,11,42,170,170,25,376,21,9,42.9,12,57.1,240,1376,662,21,16,8,14,10,311,47,Manchester City
70,Kevin De Bruyne,be BEL,MF,32-272,5.5,514,0,15,153,349,31,514,16,6,37.5,9,56.3,293,1409,777,24,18,5,6,7,379,61,Manchester City
71,Rico Lewis,eng ENG,"MF,DF",19-126,5.0,300,6,62,151,90,11,300,6,2,33.3,4,66.7,170,745,365,7,11,0,0,8,227,17,Manchester City
72,Stefan Ortega,de GER,GK,31-141,2.3,118,78,117,1,0,0,118,0,0,,0,,86,311,166,0,0,0,0,0,82,0,Manchester City
73,Oscar Bobb,no NOR,"FW,MF",20-258,2.0,137,3,7,19,112,16,137,13,9,69.2,3,23.1,87,426,256,9,4,3,4,3,101,29,Manchester City
74,Kalvin Phillips,eng ENG,MF,28-115,1.0,87,3,14,52,23,1,87,3,1,33.3,2,66.7,51,402,221,7,5,1,4,2,57,3,Manchester City
75,Sergio Gómez,es ESP,FW,23-204,0.2,22,0,3,8,11,2,22,2,2,100.0,0,0.0,14,81,54,3,0,1,0,0,15,2,Manchester City
76,Aymeric Laporte,es ESP,DF,29-304,0.1,14,2,7,6,1,1,14,0,0,,0,,10,23,1,0,0,0,0,0,10,0,Manchester City
77,Cole Palmer,eng ENG,MF,21-325,0.1,6,0,0,4,2,0,6,0,0,,0,,6,35,4,0,0,0,1,0,6,0,Manchester City
78,James Mcatee,eng ENG,MF,21-160,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Manchester City
79,Ollie Watkins,eng ENG,FW,28-087,28.5,770,26,50,287,440,176,770,50,19,38.0,25,50.0,469,2317,1096,50,29,32,64,44,605,176,Aston Villa
80,Emiliano Martínez,ar ARG,GK,31-206,28.0,1225,919,1204,21,0,0,1225,0,0,,0,,763,3622,2243,0,0,0,0,0,642,0,Aston Villa
81,Douglas Luiz,br BRA,MF,25-322,26.9,1998,67,426,1071,518,35,1994,39,21,53.8,12,30.8,1190,6337,2966,51,42,3,25,23,1399,43,Aston Villa
82,John McGinn,sct SCO,"MF,FW",29-160,26.4,1245,32,180,650,431,53,1245,82,46,56.1,23,28.0,810,4172,1949,49,35,7,45,51,885,71,Aston Villa
83,Ezri Konsa,eng ENG,DF,26-155,25.1,1844,194,759,937,162,26,1844,29,18,62.1,4,13.8,1214,5706,3161,27,12,3,14,10,1309,21,Aston Villa
84,Matty Cash,pl POL,DF,26-232,21.1,1365,81,436,607,336,52,1365,38,11,28.9,18,47.4,787,4479,2047,58,39,18,18,14,820,89,Aston Villa
85,Pau Torres,es ESP,DF,27-070,20.4,1511,189,710,707,108,16,1511,22,15,68.2,5,22.7,1088,7239,4923,35,35,0,6,11,1121,15,Aston Villa
86,Boubacar Kamara,fr FRA,MF,24-124,18.4,1195,50,305,720,186,13,1195,30,14,46.7,12,40.0,769,3527,1663,19,22,1,19,13,880,10,Aston Villa
87,Lucas Digne,fr FRA,DF,30-250,18.5,1145,48,309,394,451,47,1145,20,4,20.0,11,55.0,610,2631,1250,31,14,3,13,11,667,170,Aston Villa
88,Moussa Diaby,fr FRA,"FW,MF",24-263,17.5,630,6,42,228,370,110,630,53,22,41.5,28,52.8,434,2877,1418,70,29,31,28,23,474,153,Aston Villa
89,Leon Bailey,jm JAM,"MF,FW",26-230,16.6,766,12,106,241,434,102,766,89,43,48.3,36,40.4,536,4012,1931,83,39,37,40,27,570,180,Aston Villa
90,Diego Carlos,br BRA,DF,31-011,13.0,993,144,535,432,28,14,993,4,2,50.0,2,50.0,658,3319,1885,4,2,1,5,3,728,0,Aston Villa
91,Clément Lenglet,fr FRA,DF,28-283,10.8,884,132,413,422,53,9,884,8,3,37.5,2,25.0,636,3934,2572,26,16,0,1,2,685,1,Aston Villa
92,Youri Tielemans,be BEL,"MF,FW",26-324,12.7,768,21,122,426,226,24,768,23,10,43.5,9,39.1,459,2141,1040,19,22,6,13,20,550,43,Aston Villa
93,Álex Moreno,es ESP,DF,30-292,10.4,638,36,231,215,195,27,638,33,15,45.5,15,45.5,337,2136,1041,29,18,8,11,6,356,79,Aston Villa
94,Jacob Ramsey,eng ENG,"MF,FW",22-303,9.5,433,10,69,178,195,47,433,20,8,40.0,11,55.0,271,1777,836,33,19,11,18,21,314,69,Aston Villa
95,Nicolò Zaniolo,it ITA,"MF,FW",24-268,6.9,306,8,36,126,148,50,306,35,11,31.4,21,60.0,209,1357,692,24,11,13,25,31,216,49,Aston Villa
96,Jhon Durán,co COL,"FW,MF",20-104,2.6,108,5,11,49,51,16,108,3,1,33.3,2,66.7,61,304,132,6,4,4,7,8,78,14,Aston Villa
97,Morgan Rogers,eng ENG,MF,21-244,1.4,68,2,14,26,31,5,68,7,6,85.7,1,14.3,37,265,160,6,3,1,3,1,43,8,Aston Villa
98,Leander Dendoncker,be BEL,MF,28-346,1.3,80,4,31,39,12,2,80,0,0,,0,,36,124,27,0,1,0,2,1,39,2,Aston Villa
99,Robin Olsen,se SWE,GK,34-078,1.0,39,37,39,0,0,0,39,0,0,,0,,24,152,69,0,0,0,0,0,25,0,Aston Villa
100,Tyrone Mings,eng ENG,DF,31-013,0.3,8,3,5,2,1,1,8,0,0,,0,,4,8,3,0,0,0,1,0,4,0,Aston Villa
101,Tim Iroegbunam,eng ENG,MF,20-270,0.7,30,1,8,20,3,0,30,2,2,100.0,0,0.0,22,118,72,1,0,0,0,1,22,0,Aston Villa
102,Calum Chambers,eng ENG,DF,29-066,0.5,40,7,27,13,0,0,40,0,0,,0,,27,143,98,0,0,0,0,0,31,0,Aston Villa
103,Philippe Coutinho,br BRA,"MF,FW",31-288,0.3,30,0,4,18,9,1,30,5,4,80.0,1,20.0,26,222,134,5,4,0,2,0,29,2,Aston Villa
104,Bertrand Traoré,bf BFA,"DF,FW",28-202,0.1,7,0,5,2,0,0,7,1,0,0.0,1,100.0,4,54,0,0,0,0,1,1,4,0,Aston Villa
105,Cameron Archer,eng ENG,MF,22-249,0.1,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,1,0,1,0,7,0,Aston Villa
106,Jaden Philogene Bidace,eng ENG,FW,22-047,0.0,4,0,1,1,2,1,4,0,0,,0,,2,39,39,2,1,1,0,0,3,1,Aston Villa
107,Guglielmo Vicario,it ITA,GK,27-171,28.0,1252,969,1241,11,0,0,1252,0,0,,0,,732,3319,1875,0,0,0,0,0,692,0,Tottenham
108,Pedro Porro,es ESP,DF,24-195,25.0,2015,132,600,807,625,44,2015,40,20,50.0,16,40.0,962,3795,1993,37,31,6,30,9,1186,108,Tottenham
109,Dejan Kulusevski,se SWE,"FW,MF",23-336,24.5,1293,7,131,385,802,188,1293,107,43,40.2,56,52.3,926,6183,3116,126,51,70,68,47,968,309,Tottenham
110,Son Heung-min,kr KOR,FW,31-262,23.0,929,7,62,313,563,148,928,62,27,43.5,33,53.2,637,3696,1831,73,29,42,39,26,753,236,Tottenham
111,Destiny Udogie,it ITA,DF,21-119,22.6,1512,82,428,679,436,64,1512,53,21,39.6,24,45.3,836,5285,2887,73,55,18,42,20,874,119,Tottenham
112,Cristian Romero,ar ARG,DF,25-334,21.0,2031,241,885,1037,126,18,2031,7,4,57.1,1,14.3,1374,6653,4386,24,31,0,9,4,1453,4,Tottenham
113,Pape Matar Sarr,sn SEN,MF,21-194,16.5,1150,41,205,622,336,32,1150,33,15,45.5,16,48.5,780,4492,1757,32,43,3,27,9,875,62,Tottenham
114,Yves Bissouma,ml MLI,MF,27-209,17.2,1624,76,364,952,324,17,1624,44,26,59.1,10,22.7,1045,5511,2324,34,32,7,25,26,1257,9,Tottenham
115,Micky van de Ven,nl NED,DF,22-342,17.0,1359,160,666,653,52,7,1359,20,11,55.0,7,35.0,981,4395,1984,11,10,0,8,8,1017,2,Tottenham
116,James Maddison,eng ENG,MF,27-124,16.2,1159,17,100,510,557,73,1159,58,23,39.7,24,41.4,834,4272,1766,42,39,20,23,25,944,101,Tottenham
117,Richarlison,br BRA,FW,26-321,15.1,602,31,82,229,297,111,602,36,10,27.8,23,63.9,362,1532,669,23,9,13,46,36,418,100,Tottenham
118,Brennan Johnson,wls WAL,FW,22-308,14.2,601,13,82,207,322,96,601,45,16,35.6,26,57.8,395,2285,1193,56,17,31,26,10,443,164,Tottenham
119,Ben Davies,wls WAL,DF,30-337,11.1,918,93,389,447,84,21,918,9,3,33.3,6,66.7,569,3149,1995,12,11,1,2,3,657,18,Tottenham
120,Emerson,br BRA,DF,25-072,10.7,1034,90,401,448,189,10,1034,18,8,44.4,6,33.3,603,2443,1150,20,15,1,12,11,699,31,Tottenham
121,Rodrigo Bentancur,uy URU,MF,26-275,5.9,487,23,97,263,129,13,487,13,6,46.2,5,38.5,286,1468,569,7,11,1,11,12,375,19,Tottenham
122,Pierre Højbjerg,dk DEN,MF,28-234,11.3,1182,49,288,687,218,13,1182,20,10,50.0,9,45.0,741,3032,1335,13,20,2,15,6,914,23,Tottenham
123,Timo Werner,de GER,FW,28-020,4.9,259,1,17,56,187,39,259,14,9,64.3,5,35.7,202,1611,970,48,21,23,7,2,208,73,Tottenham
124,Oliver Skipp,eng ENG,"MF,FW",23-192,6.5,363,11,68,211,85,10,363,2,1,50.0,1,50.0,185,655,323,6,2,1,8,5,269,22,Tottenham
125,Giovani Lo Celso,ar ARG,MF,27-352,4.7,432,9,67,231,142,14,432,12,7,58.3,2,16.7,275,1478,742,21,19,0,8,7,347,23,Tottenham
126,Manor Solomon,il ISR,FW,24-246,2.2,125,1,14,29,83,20,125,17,10,58.8,7,41.2,92,695,404,17,8,9,5,2,92,44,Tottenham
127,Bryan Gil,es ESP,"FW,MF",23-044,2.2,170,3,24,64,83,18,170,10,7,70.0,3,30.0,119,648,291,9,5,5,7,5,136,42,Tottenham
128,Eric Dier,eng ENG,DF,30-071,2.2,164,38,106,57,2,2,164,0,0,,0,,97,291,119,0,0,0,1,0,112,0,Tottenham
129,Radu Drăgușin,ro ROU,DF,22-052,1.6,126,15,59,65,3,1,126,1,0,0.0,0,0.0,81,484,241,1,1,0,0,1,89,1,Tottenham
130,Ivan Perišić,hr CRO,FW,35-053,1.1,93,3,24,20,49,10,93,7,4,57.1,3,42.9,65,398,277,15,5,6,2,0,74,17,Tottenham
131,Davinson Sánchez,co COL,DF,27-288,0.9,83,8,24,45,14,1,83,0,0,,0,,68,238,80,0,2,0,1,0,66,0,Tottenham
132,Alejo Véliz,ar ARG,FW,20-189,0.6,18,0,1,6,11,4,18,2,1,50.0,1,50.0,8,19,9,0,0,0,2,2,10,3,Tottenham
133,Jamie Donley,eng ENG,FW,19-083,0.0,7,2,4,2,1,0,7,1,0,0.0,1,100.0,2,9,8,0,0,0,0,1,1,0,Tottenham
134,Dane Scarlett,eng ENG,FW,20-002,0.0,2,0,0,2,0,0,2,0,0,,0,,2,5,0,0,0,0,1,0,2,0,Tottenham
135,André Onana,cm CMR,GK,27-359,28.0,1188,906,1159,29,0,0,1188,0,0,,0,,815,4256,2707,1,0,0,1,0,699,0,Manchester Utd
136,Bruno Fernandes,pt POR,"MF,FW",29-200,27.0,1961,69,306,807,866,77,1958,41,18,43.9,20,48.8,1022,4467,2457,58,42,15,38,25,1293,137,Manchester Utd
137,Diogo Dalot,pt POR,DF,25-008,25.3,1590,145,552,604,445,37,1590,42,23,54.8,16,38.1,827,3960,2138,42,31,9,13,10,889,87,Manchester Utd
138,Marcus Rashford,eng ENG,FW,26-147,22.1,854,19,102,268,498,119,852,98,44,44.9,46,46.9,583,4341,2160,86,48,59,47,33,667,161,Manchester Utd
139,Alejandro Garnacho,ar ARG,FW,19-269,19.6,922,12,142,274,515,169,922,96,36,37.5,48,50.0,643,5319,2739,118,55,66,50,35,684,192,Manchester Utd
140,Rasmus Højlund,dk DEN,FW,21-051,16.3,410,13,39,167,209,69,410,22,12,54.5,9,40.9,238,1383,693,22,12,9,36,20,288,75,Manchester Utd
141,Casemiro,br BRA,MF,32-032,13.1,978,84,317,493,176,24,978,13,6,46.2,6,46.2,542,1697,852,8,15,0,10,12,644,28,Manchester Utd
142,Scott McTominay,sct SCO,"MF,FW",27-109,16.4,709,57,182,370,167,43,709,17,8,47.1,7,41.2,362,1642,751,19,14,4,22,13,432,36,Manchester Utd
143,Raphaël Varane,fr FRA,DF,30-336,14.0,862,154,416,405,43,11,862,2,1,50.0,1,50.0,499,3251,2042,15,11,0,5,2,522,2,Manchester Utd
144,Kobbie Mainoo,eng ENG,MF,18-342,12.3,600,45,198,293,115,10,600,25,13,52.0,9,36.0,350,1588,761,10,11,5,12,13,416,14,Manchester Utd
145,Victor Lindelöf,se SWE,DF,29-253,14.0,989,90,444,438,112,15,989,1,1,100.0,0,0.0,596,2982,1557,16,14,0,3,3,682,17,Manchester Utd
146,Harry Maguire,eng ENG,DF,31-021,12.9,910,109,409,437,67,27,910,2,0,0.0,2,100.0,508,3281,1964,12,8,0,6,1,571,1,Manchester Utd
147,Jonny Evans,nir NIR,DF,36-083,12.1,765,143,423,318,26,8,765,6,4,66.7,1,16.7,422,2123,1217,5,3,0,5,3,464,1,Manchester Utd
148,Luke Shaw,eng ENG,DF,28-258,10.7,754,81,283,326,148,12,754,11,7,63.6,4,36.4,398,1854,832,10,11,1,14,6,435,30,Manchester Utd
149,Antony,br BRA,FW,24-031,10.6,583,12,75,213,311,42,583,52,17,32.7,26,50.0,406,2688,1363,37,27,16,19,16,421,114,Manchester Utd
150,Aaron Wan-Bissaka,eng ENG,DF,26-121,9.8,645,43,251,267,136,12,645,18,10,55.6,3,16.7,328,1587,815,19,13,3,11,4,366,26,Manchester Utd
151,Christian Eriksen,dk DEN,MF,32-041,9.9,675,22,122,366,193,8,675,4,3,75.0,1,25.0,403,1798,920,18,17,2,3,11,464,19,Manchester Utd
152,Sofyan Amrabat,ma MAR,"MF,DF",27-218,7.1,536,29,142,308,91,1,536,8,4,50.0,2,25.0,338,1711,721,5,7,0,6,7,373,8,Manchester Utd
153,Lisandro Martínez,ar ARG,DF,26-068,6.2,450,58,198,237,16,1,450,3,2,66.7,1,33.3,311,1650,1007,8,3,0,1,3,322,1,Manchester Utd
154,Anthony Martial,fr FRA,FW,28-112,5.0,178,3,11,81,89,16,178,6,2,33.3,2,33.3,105,444,168,6,6,1,14,10,148,36,Manchester Utd
155,Sergio Reguilón,es ESP,DF,27-101,4.6,378,8,70,155,155,9,378,11,3,27.3,4,36.4,184,847,441,11,4,2,8,1,217,38,Manchester Utd
156,Mason Mount,eng ENG,MF,25-076,4.4,214,5,31,89,97,14,214,8,4,50.0,2,25.0,108,610,250,6,4,1,9,6,130,26,Manchester Utd
157,Facundo Pellistri,uy URU,"FW,MF",22-097,1.9,117,5,23,37,58,13,117,11,5,45.5,4,36.4,74,482,185,6,7,4,4,4,79,31,Manchester Utd
158,Hannibal Mejbri,tn TUN,"MF,FW",21-065,1.5,59,2,12,30,19,3,59,5,2,40.0,1,20.0,35,156,74,2,0,0,7,4,34,10,Manchester Utd
159,Willy Kambwala,fr FRA,DF,19-214,1.2,107,6,59,47,1,0,107,2,0,0.0,2,100.0,70,422,242,2,1,0,1,1,85,1,Manchester Utd
160,Omari Forson,eng ENG,FW,19-250,0.7,32,0,2,21,9,1,32,1,0,0.0,1,100.0,23,75,25,1,2,0,1,0,24,2,Manchester Utd
161,Jadon Sancho,eng ENG,"FW,MF",24-001,0.9,51,4,12,18,26,6,51,7,3,42.9,3,42.9,38,298,192,10,5,5,0,2,34,5,Manchester Utd
162,Amad Diallo,ci CIV,FW,21-259,0.5,41,0,2,17,22,7,41,3,1,33.3,1,33.3,21,135,79,2,3,1,1,0,27,9,Manchester Utd
163,Donny van de Beek,nl NED,DF,26-343,0.0,4,0,0,2,2,2,4,0,0,,0,,1,1,0,0,0,0,1,0,1,1,Manchester Utd
164,Daniel Gore,eng ENG,MF,19-182,0.0,2,0,0,1,1,0,2,0,0,,0,,2,6,2,0,0,0,0,0,1,0,Manchester Utd
165,Jarrod Bowen,eng ENG,FW,27-097,28.0,897,20,117,333,466,142,897,73,27,37.0,40,54.8,546,3903,1740,73,32,38,66,46,615,158,West Ham
166,Vladimír Coufal,cz CZE,DF,31-217,26.6,1575,123,544,643,401,21,1575,28,10,35.7,12,42.9,694,3911,1950,56,29,4,24,9,793,105,West Ham
167,James Ward-Prowse,eng ENG,MF,29-146,26.0,1522,61,279,810,442,28,1520,19,11,57.9,6,31.6,716,3213,1299,17,24,6,13,9,903,57,West Ham
168,Emerson Palmieri,it ITA,DF,29-236,26.2,1620,124,514,740,382,33,1620,44,18,40.9,21,47.7,809,4379,2282,47,38,9,26,10,925,90,West Ham
169,Alphonse Areola,fr FRA,GK,31-028,25.5,825,699,819,6,0,0,825,1,1,100.0,0,0.0,418,2689,1691,0,1,0,0,0,290,0,West Ham
170,Tomáš Souček,cz CZE,MF,29-028,24.8,1023,137,330,506,190,59,1023,7,2,28.6,5,71.4,415,1441,461,6,12,2,13,10,530,33,West Ham
171,Kurt Zouma,fr FRA,DF,29-151,23.2,1096,196,597,476,24,20,1096,0,0,,0,,597,2820,1589,5,4,1,10,1,645,0,West Ham
172,Edson Álvarez,mx MEX,MF,26-154,21.9,1332,134,487,708,152,13,1332,31,21,67.7,9,29.0,736,4294,1838,17,21,1,29,20,788,21,West Ham
173,Lucas Paquetá,br BRA,"FW,MF",26-212,20.4,1324,28,235,743,364,47,1323,59,31,52.5,23,39.0,811,3387,1383,25,29,8,48,57,981,85,West Ham
174,Nayef Aguerd,ma MAR,DF,27-362,19.6,1287,180,674,571,46,19,1287,4,2,50.0,2,50.0,808,3925,2201,10,8,0,9,2,849,3,West Ham
175,Kudus Mohammed,gh GHA,"FW,MF",23-237,18.7,912,15,140,396,414,66,912,141,77,54.6,47,33.3,624,4822,2181,82,46,26,59,61,645,147,West Ham
176,Michail Antonio,jm JAM,FW,33-364,11.4,316,4,34,133,153,37,316,34,20,58.8,11,32.4,210,1458,761,31,11,13,45,20,239,59,West Ham
177,Konstantinos Mavropanos,gr GRE,DF,26-106,12.0,604,77,304,276,29,16,604,4,1,25.0,2,50.0,277,1754,1023,8,1,1,5,0,292,1,West Ham
178,Saïd Benrahma,dz ALG,"FW,MF",28-229,6.9,355,11,65,128,168,35,354,38,14,36.8,21,55.3,238,1687,790,28,17,15,14,8,245,70,West Ham
179,Pablo Fornals,es ESP,"MF,FW",28-033,4.7,277,7,53,128,98,20,277,12,6,50.0,5,41.7,156,645,256,4,7,2,8,8,176,27,West Ham
180,Ben Johnson,eng ENG,"DF,FW",24-062,4.7,289,15,101,113,82,3,289,18,7,38.9,9,50.0,157,929,399,10,6,1,3,7,166,23,West Ham
181,Angelo Ogbonna,it ITA,DF,35-308,3.6,120,32,85,35,0,0,120,1,1,100.0,0,0.0,60,286,86,0,0,0,0,0,67,0,West Ham
182,Łukasz Fabiański,pl POL,GK,38-343,3.5,113,94,112,1,0,0,113,0,0,,0,,64,305,212,0,0,0,0,0,39,0,West Ham
183,Kalvin Phillips,eng ENG,MF,28-115,3.0,184,6,33,132,20,1,184,5,1,20.0,4,80.0,97,499,194,3,1,0,3,3,121,4,West Ham
184,Aaron Cresswell,eng ENG,DF,34-102,2.7,176,11,55,78,44,0,176,1,0,0.0,1,100.0,90,262,107,3,2,0,0,1,108,3,West Ham
185,Danny Ings,eng ENG,FW,31-247,2.9,111,7,15,50,48,16,111,9,5,55.6,3,33.3,63,294,100,6,2,3,6,2,66,13,West Ham
186,Maxwel Cornet,ci CIV,"MF,FW",27-181,1.2,54,1,10,17,28,8,54,2,0,0.0,1,50.0,31,258,73,3,2,2,1,3,34,7,West Ham
187,Divin Mubama,eng ENG,FW,19-153,0.9,32,0,3,20,9,1,32,0,0,,0,,18,41,12,0,1,0,6,0,24,5,West Ham
188,Thilo Kehrer,de GER,"DF,MF",27-187,0.2,12,2,2,8,2,0,12,0,0,,0,,3,15,5,0,0,0,0,0,6,1,West Ham
189,Pascal Groß,de GER,"MF,DF",32-285,24.6,2581,91,565,1248,783,57,2580,28,16,57.1,11,39.3,1683,7400,3809,60,39,7,26,24,1991,133,Brighton
190,Lewis Dunk,eng ENG,DF,32-126,23.4,2701,365,1313,1283,121,45,2701,5,3,60.0,1,20.0,1952,8835,4820,29,16,1,7,1,2132,11,Brighton
191,Jan Paul van Hecke,nl NED,DF,23-292,21.3,2310,276,1007,1172,139,18,2310,7,4,57.1,2,28.6,1683,9050,5564,23,32,2,16,3,1814,7,Brighton
192,Billy Gilmour,sct SCO,MF,22-289,19.8,1963,58,370,1240,363,11,1963,20,6,30.0,12,60.0,1195,5357,2658,33,47,0,25,7,1620,32,Brighton
193,Simon Adingra,ci CIV,FW,22-085,16.1,760,17,114,241,416,97,760,83,34,41.0,43,51.8,508,3208,1840,72,32,40,30,19,526,199,Brighton
194,Kaoru Mitoma,jp JPN,FW,26-311,16.5,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239,Brighton
