Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Team
193,Simon Adingra,ci CIV,FW,22-084,16.1,48,2.99,31,1,8,5,1,2,4,0.25,3,0,0,0,0,1,Brighton
194,Kaoru Mitoma,jp JPN,FW,26-310,16.5,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0,Brighton
195,Evan Ferguson,ie IRL,FW,19-158,15.1,22,1.46,15,0,2,1,3,1,1,0.07,0,0,0,0,1,0,Brighton
196,Jason Steele,eng ENG,GK,33-220,15.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brighton
197,Danny Welbeck,eng ENG,"FW,MF",33-120,11.4,40,3.5,27,0,2,8,3,0,6,0.53,3,0,0,1,2,0,Brighton
198,Bart Verbruggen,nl NED,GK,21-220,13.0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brighton
199,João Pedro,br BRA,"FW,MF",22-181,15.5,61,3.95,40,0,5,7,8,1,9,0.58,4,0,2,1,2,0,Brighton
200,Pervis Estupiñán,ec ECU,DF,26-064,11.7,39,3.33,34,3,1,1,0,0,2,0.17,2,0,0,0,0,0,Brighton
201,Facundo Buonanotte,ar ARG,"MF,FW",19-093,10.5,32,3.06,22,1,1,2,5,1,2,0.19,2,0,0,0,0,0,Brighton
202,Joël Veltman,nl NED,DF,32-070,12.6,15,1.19,10,2,0,0,3,0,1,0.08,1,0,0,0,0,0,Brighton
203,Igor,br BRA,DF,26-047,11.1,17,1.53,15,1,1,0,0,0,2,0.18,2,0,0,0,0,0,Brighton
204,James Milner,eng ENG,"DF,MF",38-081,8.6,24,2.79,20,4,0,0,0,0,2,0.23,0,2,0,0,0,0,Brighton
205,Adam Lallana,eng ENG,MF,35-320,7.4,19,2.57,18,0,0,0,1,0,1,0.14,1,0,0,0,0,0,Brighton
206,Adam Webster,eng ENG,DF,29-081,8.5,9,1.06,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Brighton
207,Carlos Baleba,cm CMR,MF,20-082,8.5,10,1.18,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brighton
208,Jack Hinshelwood,eng ENG,DF,18-349,9.7,14,1.45,11,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Brighton
209,Tariq Lamptey,gh GHA,"DF,FW",23-177,6.6,9,1.37,8,0,1,0,0,0,3,0.46,3,0,0,0,0,0,Brighton
210,Solly March,eng ENG,"FW,DF",29-249,6.2,22,3.57,8,8,2,1,2,1,2,0.32,0,1,0,0,1,0,Brighton
211,Mahmoud Dahoud,de GER,MF,28-084,5.0,13,2.59,13,0,0,0,0,0,2,0.4,2,0,0,0,0,0,Brighton
212,Ansu Fati,es ESP,"MF,FW",21-146,5.3,20,3.77,14,0,1,5,0,0,3,0.56,2,0,0,1,0,0,Brighton
213,Julio Enciso,py PAR,"MF,FW",20-062,1.6,9,5.47,4,0,4,1,0,0,2,1.22,2,0,0,0,0,0,Brighton
214,Jakub Moder,pl POL,"MF,DF",24-353,2.5,6,2.44,5,0,0,1,0,0,1,0.41,1,0,0,0,0,0,Brighton
215,Benicio Boaitey,eng ENG,"DF,FW",20-076,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Brighton
216,Max Kilman,eng ENG,DF,26-307,28.0,25,0.89,23,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
217,Nélson Semedo,pt POR,"DF,MF",30-130,26.1,39,1.5,29,0,3,1,4,2,1,0.04,0,0,0,0,0,1,Wolves
218,José Sá,pt POR,GK,31-068,24.7,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
219,Craig Dawson,eng ENG,DF,33-324,24.5,12,0.49,8,0,0,3,0,1,1,0.04,0,0,0,1,0,0,Wolves
220,Mario Lemina,ga GAB,MF,30-206,24.2,37,1.53,32,0,0,4,1,0,4,0.17,3,0,0,0,1,0,Wolves
221,Matheus Cunha,br BRA,"FW,MF",24-303,21.8,67,3.07,40,0,11,7,7,2,11,0.5,7,0,1,1,1,1,Wolves
222,João Gomes,br BRA,MF,23-042,20.2,45,2.23,35,1,1,3,1,4,4,0.2,3,0,0,1,0,0,Wolves
223,Toti Gomes,pt POR,DF,25-069,20.8,17,0.82,13,1,1,2,0,0,3,0.14,3,0,0,0,0,0,Wolves
224,Rayan Aït-Nouri,dz ALG,"DF,MF",22-293,18.9,47,2.48,34,7,1,2,3,0,2,0.11,1,0,0,0,1,0,Wolves
225,Hwang Hee-chan,kr KOR,"FW,MF",28-059,18.0,39,2.17,25,0,7,3,3,1,9,0.5,4,0,3,1,1,0,Wolves
226,Pedro Neto,pt POR,"FW,MF",24-016,16.7,74,4.43,41,15,8,4,6,0,14,0.84,8,2,2,1,1,0,Wolves
227,Pablo Sarabia,es ESP,"MF,FW",31-319,14.1,67,4.74,39,19,2,3,4,0,10,0.71,7,3,0,0,0,0,Wolves
228,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-272,9.0,28,3.12,19,2,5,1,1,0,2,0.22,1,0,1,0,0,0,Wolves
229,Tommy Doyle,eng ENG,MF,22-160,9.0,15,1.66,11,4,0,0,0,0,4,0.44,3,1,0,0,0,0,Wolves
230,Hugo Bueno,es ESP,"DF,MF",21-189,4.8,15,3.15,12,0,1,1,1,0,2,0.42,2,0,0,0,0,0,Wolves
231,Matt Doherty,ie IRL,"DF,MF",32-069,6.6,8,1.21,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
232,Boubacar Traoré,ml MLI,"MF,FW",22-218,4.5,9,2.0,8,0,1,0,0,0,2,0.45,2,0,0,0,0,0,Wolves
233,Santiago Bueno,uy URU,DF,25-137,3.2,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
234,Fábio Silva,pt POR,FW,21-250,2.9,9,3.08,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Wolves
235,Daniel Bentley,eng ENG,GK,30-256,3.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
236,Matheus Nunes,pt POR,MF,25-211,2.0,7,3.52,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
237,Nathan Fraser,ie IRL,FW,19-032,1.9,6,3.1,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Wolves
238,Sasa Kalajdzic,at AUT,FW,26-262,1.8,5,2.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
239,Tawanda Chirewa,eng ENG,"MF,FW",20-166,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
240,Jonny Castro,es ESP,MF,30-022,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Wolves
241,Fabian Schär,ch SUI,DF,32-096,27.1,40,1.47,28,1,2,3,5,1,11,0.41,7,0,0,0,3,1,Newcastle Utd
242,Bruno Guimarães,br BRA,MF,26-130,26.3,84,3.2,62,4,9,2,4,3,13,0.49,8,0,3,1,1,0,Newcastle Utd
243,Anthony Gordon,eng ENG,FW,23-030,24.3,87,3.58,63,0,6,8,8,2,15,0.62,7,0,3,3,2,0,Newcastle Utd
244,Kieran Trippier,eng ENG,DF,33-188,24.0,99,4.12,67,27,1,0,2,2,11,0.46,7,3,0,0,0,1,Newcastle Utd
245,Miguel Almirón,py PAR,FW,30-044,20.4,48,2.35,37,1,3,6,1,0,4,0.2,2,1,0,1,0,0,Newcastle Utd
246,Dan Burn,eng ENG,DF,31-321,20.3,22,1.08,17,2,1,2,0,0,3,0.15,2,0,0,1,0,0,Newcastle Utd
247,Sean Longstaff,eng ENG,MF,26-147,21.1,34,1.61,27,1,1,2,3,0,7,0.33,3,1,1,1,1,0,Newcastle Utd
248,Alexander Isak,se SWE,FW,24-186,15.6,37,2.37,21,0,8,5,3,0,2,0.13,0,0,1,0,1,0,Newcastle Utd
249,Sven Botman,nl NED,DF,24-073,15.3,14,0.92,12,0,0,2,0,0,3,0.2,3,0,0,0,0,0,Newcastle Utd
250,Nick Pope,eng ENG,GK,31-341,13.9,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
251,Lewis Miley,eng ENG,MF,17-329,13.4,31,2.32,24,0,2,3,0,2,5,0.37,4,0,0,0,0,1,Newcastle Utd
252,Joelinton,br BRA,"MF,FW",27-224,12.6,39,3.1,30,0,6,3,0,0,3,0.24,2,0,0,1,0,0,Newcastle Utd
253,Martin Dúbravka,sk SVK,GK,35-070,13.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
254,Jamaal Lascelles,eng ENG,DF,30-135,11.8,8,0.68,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
255,Valentino Livramento,eng ENG,DF,21-134,10.8,23,2.13,18,0,2,0,2,1,3,0.28,2,0,1,0,0,0,Newcastle Utd
256,Callum Wilson,eng ENG,FW,32-027,9.6,18,1.88,8,0,4,5,1,0,4,0.42,2,0,1,1,0,0,Newcastle Utd
257,Sandro Tonali,it ITA,MF,23-322,4.9,12,2.47,10,1,0,0,1,0,3,0.62,2,0,0,0,1,0,Newcastle Utd
258,Jacob Murphy,eng ENG,FW,29-030,5.3,19,3.58,10,3,2,3,1,0,4,0.75,3,0,1,0,0,0,Newcastle Utd
259,Elliot Anderson,sct SCO,"MF,FW",21-140,4.8,14,2.91,13,0,1,0,0,0,1,0.21,1,0,0,0,0,0,Newcastle Utd
260,Harvey Barnes,eng ENG,FW,26-107,4.0,9,2.25,5,0,2,1,1,0,2,0.5,1,0,1,0,0,0,Newcastle Utd
261,Joe Willock,eng ENG,MF,24-218,3.4,9,2.67,8,0,0,1,0,0,1,0.3,1,0,0,0,0,0,Newcastle Utd
262,Lewis Hall,eng ENG,DF,19-199,1.2,2,1.61,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
263,Loris Karius,de GER,GK,30-277,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
264,Matt Targett,eng ENG,DF,28-189,0.9,4,4.62,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
265,Matt Ritchie,sct SCO,FW,34-197,1.2,2,1.65,2,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Newcastle Utd
266,Emil Krafth,se SWE,DF,29-236,1.2,8,6.67,7,0,0,0,1,0,1,0.83,1,0,0,0,0,0,Newcastle Utd
267,Ben Parkinson,eng ENG,FW,19-015,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
268,Joe White,eng ENG,MF,21-176,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
269,Paul Dummett,wls WAL,DF,32-181,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
270,Alex Murphy,ie IRL,"FW,DF",19-274,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
271,Amadou Diallo,eng ENG,MF,21-039,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
272,Michael Ndiweni,eng ENG,FW,20-114,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Newcastle Utd
273,Conor Gallagher,eng ENG,MF,24-048,24.2,78,3.22,55,10,4,4,1,4,8,0.33,4,3,0,1,0,0,Chelsea
274,Axel Disasi,fr FRA,DF,26-014,24.7,8,0.32,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
275,Thiago Silva,br BRA,DF,39-185,22.0,21,0.95,20,1,0,0,0,0,2,0.09,2,0,0,0,0,0,Chelsea
276,Moisés Caicedo,ec ECU,MF,22-144,21.6,39,1.81,30,0,2,1,4,2,8,0.37,7,0,0,0,0,1,Chelsea
277,Enzo Fernández,ar ARG,MF,23-068,20.8,68,3.27,56,4,0,3,5,0,5,0.24,4,0,0,0,1,0,Chelsea
278,Raheem Sterling,eng ENG,"FW,MF",29-108,20.1,72,3.57,46,0,12,4,6,4,11,0.55,6,0,2,0,3,0,Chelsea
279,Nicolas Jackson,sn SEN,FW,22-279,20.2,52,2.58,33,1,12,2,3,1,7,0.35,5,0,2,0,0,0,Chelsea
280,Levi Colwill,eng ENG,DF,21-028,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0,Chelsea
281,Cole Palmer,eng ENG,"FW,MF",21-324,19.3,89,4.6,72,1,5,5,2,4,14,0.72,11,0,1,1,0,1,Chelsea
282,Robert Sánchez,es ESP,GK,26-128,15.9,2,0.13,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
283,Malo Gusto,fr FRA,DF,20-311,15.2,35,2.3,32,1,1,0,0,1,6,0.39,6,0,0,0,0,0,Chelsea
284,Đorđe Petrović,rs SRB,GK,24-169,11.1,1,0.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
285,Mykhailo Mudryk,ua UKR,"FW,MF",23-080,10.1,32,3.16,19,6,4,1,2,0,7,0.69,2,1,2,1,1,0,Chelsea
286,Marc Cucurella,es ESP,DF,25-247,8.8,13,1.48,11,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
287,Ben Chilwell,eng ENG,DF,27-095,8.3,20,2.42,10,8,0,0,2,0,1,0.12,1,0,0,0,0,0,Chelsea
288,Benoît Badiashile,fr FRA,DF,22-365,6.2,12,1.93,11,0,0,0,0,1,3,0.48,3,0,0,0,0,0,Chelsea
289,Armando Broja,al ALB,FW,22-197,5.0,8,1.59,5,0,1,0,2,0,1,0.2,0,0,0,0,1,0,Chelsea
290,Reece James,eng ENG,DF,24-108,4.3,14,3.25,12,1,0,1,0,0,2,0.46,1,0,0,1,0,0,Chelsea
291,Noni Madueke,eng ENG,FW,22-015,3.9,16,4.13,11,1,2,0,2,0,2,0.52,1,0,0,0,1,0,Chelsea
292,Lesley Ugochukwu,fr FRA,MF,19-365,3.0,3,0.99,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
293,Christopher Nkunku,fr FRA,"FW,MF",26-132,3.5,9,2.54,7,0,1,1,0,0,1,0.28,1,0,0,0,0,0,Chelsea
294,Trevoh Chalobah,eng ENG,DF,24-264,2.2,1,0.45,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
295,Carney Chukwuemeka,eng ENG,"MF,FW",20-157,1.9,6,3.16,5,0,1,0,0,0,3,1.58,2,0,1,0,0,0,Chelsea
296,Ian Maatsen,nl NED,"FW,MF",22-015,2.3,5,2.15,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Chelsea
297,Roméo Lavia,be BEL,MF,20-079,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
298,Cesare Casadei,it ITA,"MF,FW",21-075,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
299,Alfie Gilchrist,eng ENG,"DF,FW",20-118,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
300,Deivid Washington,br BRA,DF,18-294,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
301,Mason Burstow,eng ENG,FW,20-234,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
302,Alex Matos,eng ENG,MF,19-174,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Chelsea
303,Bernd Leno,de GER,GK,32-021,29.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
304,Antonee Robinson,us USA,DF,26-230,27.4,55,2.01,51,2,1,0,0,1,7,0.26,7,0,0,0,0,0,Fulham
305,Andreas Pereira,br BRA,MF,28-084,22.2,99,4.46,57,36,1,2,3,0,9,0.41,7,2,0,0,0,0,Fulham
306,Timothy Castagne,be BEL,DF,28-111,22.3,42,1.88,32,2,3,4,0,1,1,0.04,1,0,0,0,0,0,Fulham
307,João Palhinha,pt POR,MF,28-260,21.8,22,1.01,15,1,0,4,0,2,2,0.09,1,0,0,1,0,0,Fulham
308,Willian,br BRA,FW,35-229,18.0,86,4.77,65,10,4,6,1,0,9,0.5,9,0,0,0,0,0,Fulham
309,Raúl Jiménez,mx MEX,FW,32-325,14.1,25,1.78,14,0,4,6,0,1,3,0.21,0,0,1,2,0,0,Fulham
310,Calvin Bassey,ng NGA,DF,24-085,16.6,7,0.42,5,0,0,2,0,0,2,0.12,0,0,0,2,0,0,Fulham
311,Alex Iwobi,ng NGA,"FW,MF",27-327,16.5,70,4.26,57,0,5,8,0,0,8,0.49,6,0,0,2,0,0,Fulham
312,Tim Ream,us USA,DF,36-172,15.7,8,0.51,7,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Fulham
313,Harry Wilson,wls WAL,FW,27-003,15.7,57,3.63,38,2,4,4,7,2,8,0.51,7,0,0,0,1,0,Fulham
314,Bobby Reid,jm JAM,FW,31-052,13.0,29,2.18,23,0,1,3,0,2,4,0.3,3,0,0,0,0,1,Fulham
315,Tom Cairney,sct SCO,MF,33-065,13.8,51,3.69,45,2,0,1,1,2,11,0.8,10,0,0,0,1,0,Fulham
316,Tosin Adarabioyo,eng ENG,DF,26-183,13.0,7,0.54,4,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Fulham
317,Issa Diop,fr FRA,DF,27-076,12.8,4,0.31,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
318,Harrison Reed,eng ENG,MF,29-058,12.7,22,1.73,20,1,0,0,1,0,3,0.24,2,1,0,0,0,0,Fulham
319,Rodrigo Muniz,br BRA,FW,22-326,10.4,20,1.92,10,0,1,4,3,2,0,0.0,0,0,0,0,0,0,Fulham
320,Saša Lukić,rs SRB,MF,27-225,8.1,17,2.11,12,0,0,4,0,1,0,0.0,0,0,0,0,0,0,Fulham
321,Kenny Tete,nl NED,DF,28-168,7.6,8,1.06,6,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
322,Carlos Vinícius,br BRA,FW,29-000,3.5,9,2.57,8,0,1,0,0,0,1,0.29,1,0,0,0,0,0,Fulham
323,Adama Traoré,es ESP,"FW,MF",28-060,1.2,6,5.0,4,0,1,1,0,0,2,1.67,1,0,1,0,0,0,Fulham
324,Luke Harris,wls WAL,MF,18-357,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
325,Fodé Ballo-Touré,sn SEN,"DF,MF",27-082,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
326,Armando Broja,al ALB,FW,22-197,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Fulham
327,Aleksandar Mitrović,rs SRB,FW,29-191,0.4,2,5.45,1,0,1,0,0,0,1,2.73,1,0,0,0,0,0,Fulham
328,Illia Zabarnyi,ua UKR,DF,21-206,28.0,22,0.79,21,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
329,Dominic Solanke,eng ENG,FW,26-193,27.7,59,2.13,47,0,4,3,2,3,6,0.22,4,0,2,0,0,0,Bournemouth
330,Ryan Christie,sct SCO,MF,29-032,24.3,85,3.49,68,4,6,2,3,2,5,0.21,4,1,0,0,0,0,Bournemouth
331,Neto,br BRA,GK,34-250,26.0,4,0.15,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
332,Lewis Cook,eng ENG,MF,27-051,21.0,56,2.67,35,18,1,0,0,2,4,0.19,3,0,0,0,0,1,Bournemouth
333,Marcus Tavernier,eng ENG,FW,25-003,20.2,86,4.26,60,13,5,4,4,0,8,0.4,5,2,0,0,1,0,Bournemouth
334,Marcos Senesi,ar ARG,DF,26-320,18.4,35,1.9,34,0,0,0,0,1,5,0.27,5,0,0,0,0,0,Bournemouth
335,Antoine Semenyo,gh GHA,FW,24-078,15.8,45,2.84,32,0,7,4,1,1,6,0.38,3,0,0,1,1,1,Bournemouth
336,Justin Kluivert,nl NED,"MF,FW",24-325,13.6,37,2.72,24,0,4,5,2,2,2,0.15,0,0,1,0,0,1,Bournemouth
337,Milos Kerkez,hu HUN,DF,20-139,16.1,18,1.12,16,0,0,1,0,1,3,0.19,2,0,0,0,0,1,Bournemouth
338,Adam Smith,eng ENG,DF,32-331,15.8,21,1.33,16,4,0,0,1,0,3,0.19,3,0,0,0,0,0,Bournemouth
339,Philip Billing,dk DEN,MF,27-288,13.8,40,2.9,36,1,1,1,1,0,5,0.36,5,0,0,0,0,0,Bournemouth
340,Max Aarons,eng ENG,DF,24-081,12.1,20,1.67,15,2,0,0,3,0,1,0.08,1,0,0,0,0,0,Bournemouth
341,Lloyd Kelly,eng ENG,DF,25-171,11.2,17,1.51,13,2,1,0,0,1,1,0.09,1,0,0,0,0,0,Bournemouth
342,Alex Scott,eng ENG,MF,20-217,7.7,29,3.78,19,5,1,2,1,1,3,0.39,2,0,1,0,0,0,Bournemouth
343,Dango Ouattara,bf BFA,"DF,FW",22-043,7.5,30,4.02,23,0,4,1,1,1,2,0.27,2,0,0,0,0,0,Bournemouth
344,Luis Sinisterra,co COL,"FW,MF",24-282,7.3,38,5.18,24,0,8,4,0,2,3,0.41,0,0,0,3,0,0,Bournemouth
345,Chris Mepham,wls WAL,DF,26-141,5.9,10,1.71,7,1,0,0,0,2,2,0.34,2,0,0,0,0,0,Bournemouth
346,Joe Rothwell,eng ENG,MF,29-074,4.3,12,2.8,6,3,1,1,1,0,1,0.23,1,0,0,0,0,0,Bournemouth
347,David Brooks,wls WAL,"FW,MF",26-261,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0,Bournemouth
348,Ionuț Radu,ro ROU,GK,26-302,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
349,Jaidon Anthony,eng ENG,FW,24-115,1.7,3,1.78,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
350,James Hill,eng ENG,DF,22-075,0.8,1,1.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
351,Kieffer Moore,wls WAL,"FW,MF",31-230,1.2,5,4.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
352,Enes Ünal,tr TUR,"MF,FW",26-320,1.1,6,5.29,1,0,1,3,1,0,2,1.76,1,0,0,1,0,0,Bournemouth
353,Hamed Junior Traorè,ci CIV,MF,24-038,0.5,4,7.66,1,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
354,Tyler Adams,us USA,MF,25-040,0.2,1,4.5,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
355,Romain Faivre,fr FRA,"MF,DF",25-255,0.2,1,5.0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Bournemouth
356,Joachim Andersen,dk DEN,DF,27-299,28.0,35,1.25,30,1,0,3,0,1,3,0.11,3,0,0,0,0,0,Crystal Palace
357,Tyrick Mitchell,eng ENG,DF,24-206,26.1,30,1.15,27,2,0,0,0,1,3,0.12,3,0,0,0,0,0,Crystal Palace
358,Jordan Ayew,gh GHA,"FW,MF",32-196,23.7,64,2.7,37,4,3,7,11,2,10,0.42,8,0,1,0,1,0,Crystal Palace
359,Jefferson Lerma,co COL,MF,29-152,22.5,50,2.22,44,0,1,3,1,1,3,0.13,3,0,0,0,0,0,Crystal Palace
360,Marc Guéhi,eng ENG,DF,23-256,21.2,18,0.85,13,0,0,2,2,1,2,0.09,2,0,0,0,0,0,Crystal Palace
361,Sam Johnstone,eng ENG,GK,31-000,20.0,2,0.1,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Crystal Palace
362,Joel Ward,eng ENG,DF,34-148,18.8,16,0.85,13,2,0,1,0,0,3,0.16,2,1,0,0,0,0,Crystal Palace
363,Odsonne Édouard,fr FRA,"FW,MF",26-069,15.9,41,2.59,26,0,6,7,1,1,2,0.13,2,0,0,0,0,0,Crystal Palace
364,Jeffrey Schlupp,gh GHA,"FW,MF",31-093,13.6,23,1.69,17,0,2,1,2,1,1,0.07,1,0,0,0,0,0,Crystal Palace
365,Chris Richards,us USA,"DF,MF",23-363,16.3,10,0.61,7,0,0,2,0,1,2,0.12,2,0,0,0,0,0,Crystal Palace
366,Jean-Philippe Mateta,fr FRA,FW,26-271,16.7,51,3.05,37,0,4,5,4,1,8,0.48,6,0,0,0,2,0,Crystal Palace
367,Eberechi Eze,eng ENG,"MF,FW",25-270,14.6,72,4.92,29,22,5,7,8,1,4,0.27,2,0,0,0,2,0,Crystal Palace
368,Will Hughes,eng ENG,MF,28-343,14.6,36,2.47,23,9,1,0,2,1,2,0.14,2,0,0,0,0,0,Crystal Palace
369,Cheick Doucouré,ml MLI,MF,24-077,10.2,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0,Crystal Palace
370,Michael Olise,fr FRA,"FW,MF",22-104,8.4,50,5.96,24,11,7,4,4,0,6,0.72,5,0,1,0,0,0,Crystal Palace
371,Dean Henderson,eng ENG,GK,27-013,8.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
372,Nathaniel Clyne,eng ENG,DF,32-355,8.0,4,0.5,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Crystal Palace
373,Daniel Muñoz,co COL,"DF,MF",27-304,6.0,12,2.0,10,0,1,0,1,0,3,0.5,2,0,1,0,0,0,Crystal Palace
374,Adam Wharton,eng ENG,MF,19-297,5.1,17,3.36,10,7,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
375,Jaïro Riedewald,nl NED,"MF,FW",27-198,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
376,Matheus França,br BRA,"MF,FW",19-359,2.6,8,3.1,4,3,0,0,1,0,2,0.78,1,0,0,0,1,0,Crystal Palace
377,Naouirou Ahamada,fr FRA,"MF,FW",21-362,2.6,7,2.67,7,0,0,0,0,0,2,0.76,2,0,0,0,0,0,Crystal Palace
378,Jesurun Rak Sakyi,eng ENG,"MF,FW",21-172,1.5,6,3.97,4,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
379,David Ozoh,eng ENG,MF,18-299,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
380,James Tomkins,eng ENG,DF,34-362,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
381,Remi Matthews,eng ENG,GK,30-044,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Crystal Palace
382,Mark Flekken,nl NED,GK,30-286,27.5,3,0.11,1,2,0,0,0,0,1,0.04,0,1,0,0,0,0,Brentford
383,Vitaly Janelt,de GER,"MF,DF",25-320,25.7,58,2.25,50,1,0,3,2,2,3,0.12,2,0,0,0,1,0,Brentford
384,Christian Nørgaard,dk DEN,MF,30-015,24.2,55,2.28,42,6,0,3,2,2,3,0.12,3,0,0,0,0,0,Brentford
385,Ethan Pinnock,jm JAM,DF,30-301,23.0,23,1.0,16,1,0,5,0,1,1,0.04,1,0,0,0,0,0,Brentford
386,Yoane Wissa,cd COD,FW,27-204,21.1,46,2.18,28,1,2,7,7,1,5,0.24,2,0,0,1,2,0,Brentford
387,Nathan Collins,ie IRL,DF,22-330,21.5,16,0.75,14,0,0,1,0,1,2,0.09,2,0,0,0,0,0,Brentford
388,Mathias Jensen,dk DEN,MF,28-084,17.7,65,3.67,35,27,0,0,2,1,6,0.34,3,2,0,0,1,0,Brentford
