Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
731,Nayef Aguerd,ma MAR,DF,27-361,19.6,1,14,3,21.4,0.71,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,West Ham
732,Kudus Mohammed,gh GHA,"FW,MF",23-236,18.7,6,44,12,27.3,2.36,0.64,0.14,0.5,18.7,0,0,0,3.4,3.4,0.08,2.6,2.6,West Ham
733,Michail Antonio,jm JAM,FW,33-363,11.4,3,16,6,37.5,1.41,0.53,0.19,0.5,12.6,0,0,0,2.5,2.5,0.16,0.5,0.5,West Ham
734,Konstantinos Mavropanos,gr GRE,DF,26-105,12.0,1,10,1,10.0,0.83,0.08,0.1,1.0,9.1,0,0,0,1.1,1.1,0.11,-0.1,-0.1,West Ham
735,Saïd Benrahma,dz ALG,"FW,MF",28-228,6.9,0,18,5,27.8,2.61,0.73,0.0,0.0,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,West Ham
736,Pablo Fornals,es ESP,"MF,FW",28-032,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,West Ham
737,Ben Johnson,eng ENG,"DF,FW",24-061,4.7,0,5,1,20.0,1.06,0.21,0.0,0.0,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,West Ham
738,Angelo Ogbonna,it ITA,DF,35-307,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,West Ham
739,Łukasz Fabiański,pl POL,GK,38-342,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,West Ham
740,Kalvin Phillips,eng ENG,MF,28-114,3.0,0,3,2,66.7,1.0,0.66,0.0,0.0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,West Ham
741,Aaron Cresswell,eng ENG,DF,34-101,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,West Ham
742,Danny Ings,eng ENG,FW,31-246,2.9,1,9,3,33.3,3.07,1.02,0.11,0.33,13.4,0,0,0,1.1,1.1,0.13,-0.1,-0.1,West Ham
