Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
812,Valentino Livramento,eng ENG,DF,21-134,10.8,1,3,1,33.3,0.28,0.09,0.33,1.0,13.1,0,0,0,0.3,0.3,0.09,0.7,0.7,Newcastle Utd
813,Callum Wilson,eng ENG,FW,32-027,9.6,7,29,15,51.7,3.03,1.57,0.17,0.33,12.2,0,2,2,7.2,5.7,0.2,-0.2,-0.7,Newcastle Utd
814,Sandro Tonali,it ITA,MF,23-322,4.9,1,3,2,66.7,0.62,0.41,0.33,0.5,15.8,0,0,0,0.7,0.7,0.22,0.3,0.3,Newcastle Utd
815,Jacob Murphy,eng ENG,FW,29-030,5.3,2,15,5,33.3,2.84,0.95,0.13,0.4,18.9,0,0,0,0.9,0.9,0.06,1.1,1.1,Newcastle Utd
816,Elliot Anderson,sct SCO,"MF,FW",21-140,4.8,0,7,2,28.6,1.45,0.41,0.0,0.0,14.0,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Newcastle Utd
817,Harvey Barnes,eng ENG,FW,26-107,4.0,2,12,4,33.3,3.0,1.0,0.17,0.5,19.7,0,0,0,1.2,1.2,0.1,0.8,0.8,Newcastle Utd
818,Joe Willock,eng ENG,MF,24-218,3.4,1,4,2,50.0,1.18,0.59,0.25,0.5,6.3,0,0,0,0.7,0.7,0.16,0.3,0.3,Newcastle Utd
819,Lewis Hall,eng ENG,DF,19-199,1.2,0,1,1,100.0,0.81,0.81,0.0,0.0,20.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Newcastle Utd
820,Loris Karius,de GER,GK,30-277,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
821,Matt Targett,eng ENG,DF,28-189,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
822,Matt Ritchie,sct SCO,FW,34-197,1.2,1,5,3,60.0,4.13,2.48,0.2,0.33,11.9,0,0,0,0.8,0.8,0.16,0.2,0.2,Newcastle Utd
823,Emil Krafth,se SWE,DF,29-236,1.2,0,1,0,0.0,0.83,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Newcastle Utd
824,Ben Parkinson,eng ENG,FW,19-015,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
825,Joe White,eng ENG,MF,21-176,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
826,Paul Dummett,wls WAL,DF,32-181,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
827,Alex Murphy,ie IRL,"FW,DF",19-274,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
828,Amadou Diallo,eng ENG,MF,21-039,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
829,Michael Ndiweni,eng ENG,FW,20-114,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Newcastle Utd
