Player,Tkl,TklW,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Team,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Touches,Def Pen,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Nation,Pos,Age,90s,Def 3rd,Mid 3rd,Att 3rd,TotDist,PrgDist,1/3,Country
Kaide Gordon,0,0,0,0,0,0,0,0,0,0,0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,19,0,0,0,0,16,11,0,United Kingdom
Ederson,0,0,0,0,1,0,0,0,0,6,1,Manchester City,5,0.19,3,2,0,0,0,0,0,0,0,0,0,0,0,893,86.8,217,218,99.5,461,471,97.9,213,335,63.6,0,0.1,0.1,-0.1,1,1,0,4,1068,787,0,1068,1,1,100,0,0,714,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRA,GK,30,25.7,0,0,0,22048,14954,22,Brazil
Phil Foden,24,14,12,50,12,21,21,13,37,15,1,Manchester City,112,4.37,89,7,6,5,1,14,0.55,12,1,0,0,1,0,1194,85.4,761,811,93.8,318,371,85.7,55,102,53.9,7,6.2,5.6,0.8,57,50,5,140,1708,16,164,1708,84,39,46.4,36,42.9,1177,83,50,53,36,1394,225,11,85,35,41.2,3.31,1.36,0.13,0.31,18.1,1,0,0,8.5,8.5,0.1,2.5,2.5,ENG,"FW,MF",23,25.7,10,8,6,16235,3052,51,United Kingdom
Julián Álvarez,19,9,7,28,18,23,23,2,21,13,1,Manchester City,98,4.01,63,25,3,1,0,13,0.53,11,1,0,0,1,0,832,79.5,498,552,90.2,228,275,82.9,52,129,40.3,7,6.2,5.6,0.8,61,32,4,87,1284,18,108,1283,37,18,48.6,19,51.4,767,52,21,47,29,914,144,8,74,29,39.2,3.03,1.19,0.09,0.24,18.6,12,1,1,9,8.2,0.11,-1,-1.2,ARG,"MF,FW",24,24.4,3,7,9,11651,2577,38,Argentina
Kyle Walker,28,18,15,46.9,17,16,12,22,50,36,1,Manchester City,58,2.31,54,1,0,2,0,8,0.32,7,0,0,1,0,0,1759,87.8,794,850,93.4,787,864,91.1,147,217,67.7,2,2.3,3,-0.3,22,29,11,139,2179,70,34,2179,30,18,60,9,30,1270,65,4,21,10,1589,151,0,16,3,18.8,0.64,0.12,0,0,29.4,1,0,0,0.4,0.4,0.02,-0.4,-0.4,ENG,DF,33,25.1,15,11,2,30298,6955,170,United Kingdom
Rodri,54,33,26,54.2,22,25,18,20,74,35,3,Manchester City,121,5.03,97,2,6,6,5,17,0.71,12,0,2,1,1,1,2433,91.8,1178,1252,94.1,945,1011,93.5,257,304,84.5,5,2.6,4.7,2.4,35,46,0,264,2903,87,61,2903,44,28,63.6,9,20.5,1869,61,12,14,20,2341,46,6,51,17,33.3,2.12,0.71,0.12,0.35,20.8,0,0,0,3.3,3.3,0.06,2.7,2.7,ESP,MF,27,24.1,17,27,10,41853,11449,274,Spain
Erling Haaland,5,2,2,100,0,9,8,1,6,13,0,Manchester City,45,2.11,30,0,2,5,1,9,0.42,4,0,1,3,1,0,209,75.2,136,166,81.9,44,54,81.5,5,8,62.5,5,3.8,1.7,1.2,25,9,0,18,462,13,131,458,22,10,45.5,10,45.5,273,22,14,31,13,353,93,18,87,39,44.8,4.07,1.83,0.17,0.38,11.5,1,3,4,20.9,17.8,0.21,-2.9,-2.8,NOR,FW,23,21.4,0,3,2,2353,437,13,Norway
Rúben Dias,27,12,14,70,6,25,12,22,49,69,0,Manchester City,21,0.98,15,0,0,0,1,2,0.09,1,0,0,1,0,0,1839,93.5,775,800,96.9,928,966,96.1,115,162,71,0,0.2,1.1,-0.2,3,8,2,132,2156,172,28,2156,1,0,0,1,100,1518,30,0,6,4,1716,14,0,16,7,43.8,0.75,0.33,0,0,14.2,0,0,0,1.1,1.1,0.07,-1.1,-1.1,POR,DF,26,21.4,11,15,1,32151,10207,176,Portugal
Bernardo Silva,38,19,18,45,22,21,18,11,49,11,1,Manchester City,107,5.08,96,3,4,3,0,6,0.28,5,0,1,0,0,0,1229,85.5,689,735,93.7,419,490,85.5,89,133,66.9,4,5.6,5.8,-1.6,51,41,10,136,1630,27,105,1630,47,31,66,16,34,1142,110,27,34,23,1300,190,6,28,12,42.9,1.33,0.57,0.21,0.5,16,0,0,0,2.9,2.9,0.1,3.1,3.1,POR,"MF,FW",29,21.1,11,21,6,19176,4005,78,Portugal
Nathan Aké,23,13,12,70.6,5,13,11,11,34,44,0,Manchester City,35,1.82,27,0,2,1,1,6,0.31,3,0,1,2,0,0,1454,91.7,744,782,95.1,637,676,94.2,38,72,52.8,2,1.2,1.1,0.8,10,5,1,102,1721,80,35,1721,9,5,55.6,2,22.2,1085,23,1,7,2,1260,17,2,18,4,22.2,0.94,0.21,0.11,0.5,11.3,0,0,0,1.6,1.6,0.09,0.4,0.4,NED,DF,29,19.2,15,6,2,22247,7257,129,Netherlands
Manuel Akanji,25,16,14,53.8,12,21,11,20,45,55,1,Manchester City,33,1.77,27,1,0,2,1,3,0.16,3,0,0,0,0,0,1447,92.9,720,749,96.1,624,662,94.3,77,104,74,0,0.2,1.1,-0.2,6,9,1,93,1717,124,19,1717,3,2,66.7,1,33.3,1103,33,2,10,5,1326,21,2,10,4,40,0.54,0.21,0.2,0.5,19.6,0,0,0,0.9,0.9,0.09,1.1,1.1,SUI,"DF,MF",28,18.6,10,10,5,23687,6232,138,Switzerland
Joško Gvardiol,30,21,14,60.9,9,20,11,20,50,24,2,Manchester City,30,1.83,22,1,3,1,2,0,0,0,0,0,0,0,0,1059,87.1,554,602,92,420,466,90.1,50,72,69.4,0,0.9,1.1,-0.9,11,9,2,80,1386,42,28,1386,26,14,53.8,9,34.6,835,39,5,15,11,960,70,0,18,7,38.9,1.1,0.43,0,0,18.4,0,0,0,1,1,0.05,-1,-1,CRO,DF,22,16.4,11,15,4,16345,4181,101,Croatia
Jeremy Doku,28,19,9,52.9,8,9,9,8,36,4,0,Manchester City,74,5.55,58,1,9,2,0,8,0.6,6,0,1,1,0,0,516,80.2,333,374,89,155,204,76,20,24,83.3,5,3.4,4.6,1.6,34,30,6,45,871,5,163,871,124,64,51.6,46,37.1,659,166,110,42,26,699,221,2,34,10,29.4,2.55,0.75,0.06,0.2,16.8,0,0,0,1.4,1.4,0.04,0.6,0.6,BEL,"FW,MF",21,13.3,10,11,7,7372,1182,8,Belgium
John Stones,2,1,0,0,3,11,4,9,11,20,0,Manchester City,21,1.99,19,0,0,2,0,0,0,0,0,0,0,0,0,647,92.6,331,353,93.8,264,276,95.7,36,46,78.3,0,0.2,0.4,-0.2,5,1,0,50,763,49,10,763,5,1,20,3,60,484,15,1,5,6,610,20,1,4,2,50,0.38,0.19,0.25,0.5,15.9,0,0,0,1,1,0.26,0,0,ENG,"DF,MF",29,10.6,1,0,1,10243,2401,44,United Kingdom
Mateo Kovačić,21,16,11,64.7,6,13,13,3,24,8,0,Manchester City,36,3.34,30,0,1,1,0,4,0.37,3,0,0,1,0,0,850,93.5,498,513,97.1,295,317,93.1,26,33,78.8,0,1.2,1.4,-1.2,12,11,0,70,1006,16,5,1006,23,14,60.9,6,26.1,698,28,0,8,16,858,27,0,13,3,23.1,1.2,0.28,0,0,21.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8,CRO,MF,29,10.8,11,8,2,12071,2465,78,Croatia
Jack Grealish,12,8,6,54.5,5,12,10,4,16,4,0,Manchester City,40,5.09,34,0,1,3,0,2,0.25,2,0,0,0,0,0,334,84.8,199,217,91.7,105,121,86.8,18,24,75,1,2.1,2.1,-1.1,20,12,0,29,489,4,55,489,28,14,50,5,17.9,350,55,33,15,18,387,87,3,16,5,31.3,2.04,0.64,0.19,0.6,15.6,0,0,0,1.9,1.9,0.12,1.1,1.1,ENG,FW,28,7.9,6,6,0,4756,635,11,United Kingdom
Matheus Nunes,8,3,4,40,6,4,3,0,8,7,0,Manchester City,17,3.03,13,0,0,3,0,3,0.53,3,0,0,0,0,0,264,84.1,162,177,91.5,80,91,87.9,10,21,47.6,2,1,1.3,1,7,11,2,24,376,11,25,376,21,9,42.9,12,57.1,240,21,8,14,10,311,47,0,3,2,66.7,0.53,0.36,0,0,17.8,0,0,0,0.4,0.4,0.12,-0.4,-0.4,POR,"MF,FW",25,5.6,1,5,2,3626,596,17,Portugal
Kevin De Bruyne,4,3,4,44.4,5,2,2,2,6,1,0,Manchester City,45,8.2,32,9,2,1,0,8,1.46,5,2,0,0,1,0,332,72.6,190,214,88.8,102,141,72.3,35,77,45.5,5,5.2,2.5,-0.2,27,28,7,52,514,0,31,514,16,6,37.5,9,56.3,293,24,5,6,7,379,61,1,18,4,22.2,3.29,0.73,0.06,0.25,22.7,4,0,0,1,1,0.06,0,0,BEL,MF,32,5.5,1,1,2,5398,1675,32,Belgium
Rico Lewis,5,3,1,33.3,2,4,3,4,9,3,0,Manchester City,6,1.19,6,0,0,0,0,0,0,0,0,0,0,0,0,239,89.8,144,151,95.4,84,90,93.3,6,12,50,0,0.5,0.4,-0.5,5,2,0,12,300,6,11,300,6,2,33.3,4,66.7,170,7,0,0,8,227,17,1,2,2,100,0.4,0.4,0.5,0.5,16.5,0,0,0,0.3,0.3,0.16,0.7,0.7,ENG,"MF,DF",19,5,3,1,1,3374,456,12,United Kingdom
Stefan Ortega,0,0,0,0,0,0,0,0,0,0,1,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,70.5,18,18,100,42,44,95.5,19,49,38.8,0,0,0,0,0,0,0,0,118,78,0,118,0,0,0,0,0,86,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GER,GK,31,2.3,0,0,0,1932,1434,1,Germany
Oscar Bobb,3,0,1,50,1,3,3,1,4,1,0,Manchester City,14,7,9,0,4,1,0,5,2.5,2,0,2,0,1,0,95,87.2,66,69,95.7,26,30,86.7,2,2,100,1,0.9,1.1,0.1,5,13,1,18,137,3,16,137,13,9,69.2,3,23.1,87,9,3,4,3,101,29,1,3,1,33.3,1.5,0.5,0.33,1,9.1,0,0,0,1.3,1.3,0.43,-0.3,-0.3,NOR,"FW,MF",20,2,1,0,2,1267,272,2,Norway
Kalvin Phillips,3,3,0,0,0,0,0,2,5,2,0,Manchester City,1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,62,88.6,31,32,96.9,24,26,92.3,7,10,70,0,0,0.1,0,0,1,1,7,87,3,1,87,3,1,33.3,2,66.7,51,7,1,4,2,57,3,0,2,0,0,1.94,0,0,0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ENG,MF,28,1,1,1,1,1067,300,8,United Kingdom
Sergio Gómez,0,0,0,0,0,0,0,1,1,0,0,Manchester City,2,9,1,0,1,0,0,2,9,1,0,1,0,0,0,16,80,8,9,88.9,6,7,85.7,1,2,50,1,0.2,0.1,0.8,1,0,0,1,22,0,2,22,2,2,100,0,0,14,3,1,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESP,FW,23,0.2,0,0,0,249,16,0,Spain
Aymeric Laporte,0,0,0,0,0,1,0,0,0,1,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,4,4,100,7,7,100,0,0,0,0,0,0,0,0,0,0,0,14,2,1,14,0,0,0,0,0,10,0,0,0,0,10,0,0,1,1,100,7.5,7.5,0,0,10.8,0,0,0,0,0,0.04,0,0,ESP,DF,29,0.1,0,0,0,202,48,0,Spain
Cole Palmer,0,0,0,0,0,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,2,2,100,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,21,0.1,0,0,0,51,0,0,United Kingdom
James Mcatee,0,0,0,0,0,1,1,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,21,0,0,0,0,0,0,0,United Kingdom
Ollie Watkins,9,6,4,40,6,24,20,4,13,19,0,Aston Villa,87,3.05,61,0,6,4,1,22,0.77,13,0,1,6,2,0,359,74.5,232,289,80.3,93,128,72.7,8,16,50,10,5.4,3.6,4.6,39,20,0,45,770,26,176,770,50,19,38,25,50,469,50,32,64,44,605,176,16,88,40,45.5,3.09,1.4,0.18,0.4,12.7,0,0,0,14.3,14.3,0.17,1.7,1.7,ENG,FW,28,28.5,0,3,6,4597,786,17,United Kingdom
Emiliano Martínez,0,0,0,0,0,0,0,0,0,11,1,Aston Villa,3,0.11,3,0,0,0,0,1,0.04,1,0,0,0,0,0,980,83.9,211,213,99.1,590,597,98.8,177,348,50.9,0,0,0,0,2,0,0,2,1225,919,0,1225,0,0,0,0,0,763,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG,GK,31,28,0,0,0,22728,13351,19,Argentina
Douglas Luiz,52,34,23,47.9,25,29,23,18,70,17,1,Aston Villa,99,3.68,54,26,6,4,1,8,0.3,5,3,0,0,0,0,1533,86.1,698,747,93.4,648,730,88.8,148,236,62.7,5,4.2,4.5,0.8,44,37,7,152,1998,67,35,1994,39,21,53.8,12,30.8,1190,51,3,25,23,1399,43,9,42,12,28.6,1.56,0.45,0.12,0.42,23.7,5,4,4,6.6,3.5,0.08,2.4,1.5,BRA,MF,25,26.9,18,25,9,26543,6810,124,Brazil
John McGinn,48,29,25,41.7,35,21,19,15,63,18,0,Aston Villa,96,3.64,81,8,5,1,0,13,0.49,10,1,2,0,0,0,780,78.9,344,396,86.9,321,377,85.1,105,172,61,3,3.9,4.2,-0.9,39,44,10,166,1245,32,53,1245,82,46,56.1,23,28,810,49,7,45,51,885,71,6,35,14,40,1.33,0.53,0.17,0.43,19.5,3,0,0,4.3,4.3,0.12,1.7,1.7,SCO,"MF,FW",29,26.4,13,29,6,14445,4792,103,United Kingdom
Ezri Konsa,38,22,18,90,2,25,11,25,63,62,3,Aston Villa,25,1,17,1,2,3,1,4,0.16,1,1,0,0,1,1,1511,91.9,622,656,94.8,789,841,93.8,81,107,75.7,0,0.4,0.8,-0.4,7,8,1,102,1844,194,26,1844,29,18,62.1,4,13.8,1214,27,3,14,10,1309,21,0,13,4,30.8,0.52,0.16,0,0,11.1,0,0,0,2,2,0.15,-2,-2,ENG,DF,26,25.1,20,15,3,25849,8884,108,United Kingdom
Matty Cash,48,26,24,49,25,33,21,18,66,52,0,Aston Villa,39,1.85,31,1,0,1,0,6,0.28,5,0,0,0,1,0,903,80.6,459,507,90.5,375,457,82.1,53,112,47.3,1,2.1,2.3,-1.1,11,17,8,82,1365,81,52,1365,38,11,28.9,18,47.4,787,58,18,18,14,820,89,2,31,13,41.9,1.47,0.62,0.06,0.15,15.4,0,0,0,4.1,4.1,0.14,-2.1,-2.1,POL,DF,26,21.1,21,22,5,14542,4263,62,Poland
Pau Torres,21,13,10,45.5,12,17,11,10,31,54,0,Aston Villa,20,0.98,19,1,0,0,0,1,0.05,1,0,0,0,0,0,1196,87.1,378,414,91.3,709,756,93.8,93,174,53.4,0,0.4,0.6,-0.4,7,11,1,114,1511,189,16,1511,22,15,68.2,5,22.7,1088,35,0,6,11,1121,15,2,10,4,40,0.49,0.2,0.2,0.5,16.2,0,0,0,0.9,0.9,0.09,1.1,1.1,ESP,DF,27,20.4,14,6,1,22541,7312,124,Spain
Boubacar Kamara,43,29,24,51.1,23,21,14,21,64,16,0,Aston Villa,38,2.07,33,0,0,1,2,3,0.16,3,0,0,0,0,0,922,89.1,521,560,93,319,344,92.7,56,82,68.3,1,1.3,1.4,-0.3,20,12,0,83,1195,50,13,1195,30,14,46.7,12,40,769,19,1,19,13,880,10,0,5,1,20,0.27,0.05,0,0,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA,MF,24,18.4,16,21,6,14037,3978,107,France
Lucas Digne,33,15,18,58.1,13,12,12,20,53,41,0,Aston Villa,56,3.03,39,12,0,2,0,3,0.16,3,0,0,0,0,0,740,75.3,378,433,87.3,303,388,78.1,46,102,45.1,2,2.8,2.7,-0.8,29,29,13,60,1145,48,47,1145,20,4,20,11,55,610,31,3,13,11,667,170,1,15,4,26.7,0.81,0.22,0.07,0.25,20.2,4,0,0,0.8,0.8,0.05,0.2,0.2,FRA,DF,30,18.5,25,7,1,11914,4024,34,France
Moussa Diaby,7,2,3,27.3,8,7,7,5,12,4,0,Aston Villa,60,3.44,49,1,4,2,0,7,0.4,7,0,0,0,0,0,378,80.1,216,253,85.4,133,167,79.6,15,26,57.7,6,5.1,3.6,0.9,36,34,9,53,630,6,110,630,53,22,41.5,28,52.8,434,70,31,28,23,474,153,4,42,16,38.1,2.41,0.92,0.1,0.25,16.1,0,0,0,5.1,5.1,0.12,-1.1,-1.1,FRA,"FW,MF",24,17.5,2,4,1,5471,1004,21,France
Leon Bailey,7,3,3,25,9,12,11,8,15,5,0,Aston Villa,79,4.77,56,6,8,1,1,10,0.6,6,1,1,2,0,0,419,72.5,235,287,81.9,134,175,76.6,38,61,62.3,8,6.9,5.6,1.1,40,29,3,53,766,12,102,766,89,43,48.3,36,40.4,536,83,37,40,27,570,180,8,44,15,34.1,2.65,0.9,0.18,0.53,16.9,1,0,0,4.7,4.7,0.11,3.3,3.3,JAM,"MF,FW",26,16.6,3,2,2,6617,1716,23,Jamaica
Diego Carlos,17,12,7,53.8,6,13,3,10,27,48,2,Aston Villa,6,0.46,6,0,0,0,0,2,0.15,2,0,0,0,0,0,774,87.8,232,250,92.8,457,480,95.2,81,144,56.3,0,0,0.3,0,2,3,0,47,993,144,14,993,4,2,50,2,50,658,4,1,5,3,728,0,0,5,1,20,0.39,0.08,0,0,8,0,0,0,0.6,0.6,0.12,-0.6,-0.6,BRA,DF,31,13,13,3,1,15442,6709,50,Brazil
Clément Lenglet,10,8,6,66.7,3,15,8,6,16,41,1,Aston Villa,15,1.39,11,1,0,0,0,1,0.09,1,0,0,0,0,0,716,89.2,265,281,94.3,373,399,93.5,71,110,64.5,1,0.8,0.5,0.2,2,3,0,50,884,132,9,884,8,3,37.5,2,25,636,26,0,1,2,685,1,0,6,1,16.7,0.55,0.09,0,0,11.8,0,0,0,0.8,0.8,0.13,-0.8,-0.8,FRA,DF,28,10.8,5,5,0,13478,4432,31,France
Youri Tielemans,30,16,12,42.9,16,18,17,9,39,4,0,Aston Villa,35,2.75,28,1,1,2,0,11,0.86,10,0,0,1,0,0,536,81.8,288,319,90.3,209,247,84.6,28,48,58.3,4,1.9,1.6,2.1,13,22,1,97,768,21,24,768,23,10,43.5,9,39.1,459,19,6,13,20,550,43,1,11,4,36.4,0.86,0.31,0.09,0.25,19.3,0,0,0,1.1,1.1,0.1,-0.1,-0.1,BEL,"MF,FW",26,12.7,13,13,4,8456,2644,66,Belgium
Álex Moreno,16,12,10,62.5,6,9,7,12,28,33,0,Aston Villa,21,2.02,18,0,2,0,0,0,0,0,0,0,0,0,0,401,79.4,223,252,88.5,157,194,80.9,16,25,64,0,1.1,1,-1.1,11,13,2,22,638,36,27,638,33,15,45.5,15,45.5,337,29,8,11,6,356,79,2,8,4,50,0.77,0.38,0.25,0.5,12.3,0,0,0,1.1,1.1,0.14,0.9,0.9,ESP,DF,30,10.4,16,0,0,6041,1535,10,Spain
Jacob Ramsey,16,8,5,33.3,10,15,13,3,19,8,0,Aston Villa,29,3.06,23,2,1,0,1,3,0.32,2,1,0,0,0,0,257,79.8,143,173,82.7,97,115,84.3,9,12,75,1,1,1.4,0,10,5,0,28,433,10,47,433,20,8,40,11,55,271,33,11,18,21,314,69,1,19,4,21.1,2,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,ENG,"MF,FW",22,9.5,7,6,3,3751,863,22,United Kingdom
Nicolò Zaniolo,12,5,5,45.5,6,13,13,1,13,9,0,Aston Villa,23,3.35,15,0,2,1,1,2,0.29,2,0,0,0,0,0,108,64.7,65,85,76.5,35,48,72.9,4,10,40,0,0.9,0.6,-0.9,8,5,0,23,306,8,50,306,35,11,31.4,21,60,209,24,13,25,31,216,49,2,21,7,33.3,3.05,1.02,0.1,0.29,13.8,0,0,0,2,2,0.09,0,0,ITA,"MF,FW",24,6.9,6,4,2,1541,365,14,Italy
Jhon Durán,3,3,0,0,3,3,3,0,3,7,0,Aston Villa,7,2.74,3,0,1,1,1,3,1.17,0,0,1,0,1,1,45,64.3,25,38,65.8,14,15,93.3,2,2,100,0,0.1,0.1,-0.1,2,1,0,6,108,5,16,108,3,1,33.3,2,66.7,61,6,4,7,8,78,14,2,12,4,33.3,4.7,1.57,0.17,0.5,16.7,0,0,0,1.3,1.3,0.11,0.7,0.7,COL,"FW,MF",20,2.6,1,1,1,627,127,5,Colombia
Morgan Rogers,1,0,1,33.3,2,3,3,0,1,5,0,Aston Villa,6,4.39,4,0,1,1,0,1,0.73,0,0,0,0,1,0,34,75.6,20,26,76.9,11,12,91.7,2,2,100,0,0.1,0.1,-0.1,2,3,0,10,68,2,5,68,7,6,85.7,1,14.3,37,6,1,3,1,43,8,0,4,2,50,2.93,1.46,0,0,17.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,ENG,MF,21,1.4,0,0,1,534,245,6,United Kingdom
Leander Dendoncker,6,4,4,80,1,5,3,2,8,3,1,Aston Villa,2,1.51,1,0,0,1,0,1,0.76,0,0,0,0,1,0,45,80.4,24,28,85.7,19,22,86.4,2,4,50,0,0,0,0,0,0,0,3,80,4,2,80,0,0,0,0,0,36,0,0,2,1,39,2,1,2,1,50,1.51,0.76,0.5,1,12.5,0,0,0,0.7,0.7,0.37,0.3,0.3,BEL,MF,28,1.3,3,2,1,744,139,1,Belgium
Robin Olsen,0,0,0,0,0,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,76.9,12,12,100,11,11,100,7,16,43.8,0,0,0,0,0,0,0,0,39,37,0,39,0,0,0,0,0,24,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SWE,GK,34,1,0,0,0,675,414,1,Sweden
Tyrone Mings,0,0,0,0,0,0,0,1,1,1,0,Aston Villa,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,5,100,0,0,0,2,2,100,2,2,100,0,0,0.2,0,1,0,0,0,8,3,1,8,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,0,3,0,0,0,18.4,0,0,0,0,0,0.01,0,0,ENG,DF,31,0.3,0,0,0,119,86,1,United Kingdom
Tim Iroegbunam,3,3,1,33.3,2,2,2,1,4,1,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,91.3,12,12,100,9,10,90,0,0,0,0,0,0,0,0,0,0,1,30,1,0,30,2,2,100,0,0,22,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,20,0.7,1,1,1,322,90,0,United Kingdom
Calum Chambers,0,0,0,0,0,0,0,0,0,4,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,94.4,13,13,100,21,21,100,0,2,0,0,0,0,0,0,0,0,2,40,7,0,40,0,0,0,0,0,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,DF,29,0.5,0,0,0,600,273,0,United Kingdom
Philippe Coutinho,0,0,0,0,1,0,0,0,0,0,0,Aston Villa,2,7.2,1,0,1,0,0,0,0,0,0,0,0,0,0,20,83.3,11,14,78.6,8,9,88.9,0,0,0,0,0,0,0,0,0,0,5,30,0,1,30,5,4,80,1,20,26,5,0,2,0,29,2,0,3,1,33.3,10.8,3.6,0,0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,BRA,"MF,FW",31,0.3,0,0,0,265,63,4,Brazil
Bertrand Traoré,1,1,0,0,0,0,0,0,1,1,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66.7,1,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,1,100,4,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BFA,"DF,FW",28,0.1,1,0,0,15,0,0,Burkina Faso
Cameron Archer,0,0,0,0,0,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83.3,5,6,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,5,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,MF,22,0.1,0,0,0,42,0,0,United Kingdom
Jaden Philogene Bidace,0,0,0,0,0,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,FW,22,0,0,0,0,27,5,0,United Kingdom
Guglielmo Vicario,0,0,0,0,1,0,0,1,1,26,2,Tottenham,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,972,83.3,309,311,99.4,549,565,97.2,107,278,38.5,0,0,0,0,0,0,0,1,1252,969,0,1252,0,0,0,0,0,732,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,GK,27,28,0,0,0,19237,11496,4,Italy
Pedro Porro,71,50,47,51.1,45,50,36,23,94,79,2,Tottenham,82,3.29,47,24,2,4,0,11,0.44,8,3,0,0,0,0,1283,75.8,760,840,90.5,400,521,76.8,95,226,42,7,6.1,4.9,0.9,43,33,8,126,2015,132,44,2015,40,20,50,16,40,962,37,6,30,9,1186,108,0,37,6,16.2,1.48,0.24,0,0,20.9,3,0,0,2.2,2.2,0.06,-2.2,-2.2,ESP,DF,24,25,35,22,14,19599,7531,86,Spain
Dejan Kulusevski,47,24,18,36.7,31,16,15,12,59,2,1,Tottenham,106,4.32,86,1,8,0,2,8,0.33,6,0,1,0,0,1,760,77.2,480,549,87.4,224,290,77.2,34,59,57.6,3,6.2,5.8,-3.2,53,60,13,117,1293,7,188,1293,107,43,40.2,56,52.3,926,126,70,68,47,968,309,6,44,17,38.6,1.79,0.69,0.14,0.35,15.9,0,0,0,3.5,3.5,0.08,2.5,2.5,SWE,"FW,MF",23,24.5,15,16,16,10813,2864,39,Sweden
